,Unnamed: 0,sentences,name,country,page,languages,legible,results,classes
430,111010,4. to achieve about 4 0 percent cumulative electric power installed capacity from non fossil fuel based energy resources by 203 0 with the help of transfer of technology and low cost international finance including from green climate fund gcf. ,’s Intended Nationally Determined Contributions_2015,39,29,en,4. To achieve about 40 percent cumulative electric power installed capacity from non fossil fuel based energy resources by 2030 with the help of transfer of technology and low cost international finance including from green climate fund gcf.,0.5831386481656781,i
433,19310,7. to mobilize domestic and new & additional funds from developed countries to implement the above mitigation and adaptation actions in view of the resource required and the resource gap. ,’s Intended Nationally Determined Contributions_2015,39,29,en,7. To mobilize domestic and new & additional funds from developed countries to implement the above mitigation and adaptation actions in view of the resource required and the resource gap.,0.520327671194369,i
447,271,"governments salary budget would be required for capacity building initiatives, while some part of it would need to be financed internationally. ",’s Intended Nationally Determined Contributions_2015,39,32,en,"Governments salary budget would be required for capacity building initiatives, while some part of it would need to be financed internationally.",0.490984917530301,i
449,12411,"nature.hope that the developed world will fulfil its financing commitments for development and climate change, without in any way putting both under the same head. ",’s Intended Nationally Determined Contributions_2015,39,34,en,"Nature.hope that the developed world will fulfil its financing commitments for development and climate change, without in any way putting both under the same head.",0.455309840219691,i
468,578, introduction of tax free infrastructure bonds for funding of renewable energy projects. ,’s Intended Nationally Determined Contributions_2015,39,37,en,Introduction of tax free infrastructure bonds for funding of renewable energy projects.,0.566447363892114,i
501,3421,"1 2.3  fund 1 2.3.1 sub section 1 of section 2 1 of  provides for the establishment of state employment guarantee fund segf also referred to as state fund for the purpose of implementation of the scheme in an implementing state. in exercise of the powers conferred under clauseof subsection 2 of section 3 2 of  200 5, the state governments need to notify employment guarantee fund rules proposing constitution of an segf and indicating a comprehensive framework to effectively manage the receipt, transfer and utilisation of financial resources under  through this segf. the states are also required to design mechanisms within the segf rules to ensure transparency, efficiency and accountability. the segf should have an in built capacity to track the usage of funds down to the gps. the central share of  funds are released to segf for onward allocation of funds to the districtspanchayatsprogramme implementing agencies pias of the respective state. the segf is expended and administered as per state government notified fund governance rules in accordance with the provisions of . the salient features of the segf are explained in box 1 3.2.segf funds shall be utilised in accordance with the provisions of the act and rules framed there under by the central government and instructions issued by ministry of rural development from time to time.segf pools resources from centre central share and state state share and cause its deployment within the districts as per their fund requirements. interest accruing on account of  funds should be a part of the segf and shall be spent only in accordance with instructions of the central government.the segf shall ensure district wise effective fund management under . the agency designated for fund management in a state should have a status different from the state government. generally, the state funds are managed by self regulating societies registered under the societies registration act.",", 2005_Operational_guidelines_2013",39,108,en,"12.3  fund 12.3.1 sub-section 1 of section 21 of  provides for the establishment of state employment guarantee fund segf also referred to as state fund for the purpose of implementation of the scheme in an implementing state. In exercise of the powers conferred under clauseof subsection 2 of section 32 of  2005, the state governments need to notify employment guarantee fund rules proposing constitution of an segf and indicating a comprehensive framework to effectively manage the receipt, transfer and utilisation of financial resources under  through this segf. The states are also required to design mechanisms within the segf rules to ensure transparency, efficiency and accountability. The segf should have an in-built capacity to track the usage of funds down to the gps. The central share of  funds are released to segf for onward allocation of funds to the districtspanchayatsprogramme implementing agencies pias of the respective state. The segf is expended and administered as per state government notified fund governance rules in accordance with the provisions of . The salient features of the segf are explained in box 13.2.segf funds shall be utilised in accordance with the provisions of the act and rules framed there under by the central government and instructions issued by ministry of rural development from time to time.segf pools resources from centre central share and state state share and cause its deployment within the districts as per their fund requirements. Interest accruing on account of  funds should be a part of the segf and shall be spent only in accordance with instructions of the central government.the segf shall ensure district-wise effective fund management under . The agency designated for fund management in a state should have a status different from the state government. Generally, the state funds are managed by self-regulating societies registered under the societies registration act.",0.46205053862961404,i
502,882,"1 2.3.2 the state government should be responsible for ensuring efficient fund management not only at the state level, but also at the district pia level. funds from segf will be released to the districts only if the fund recipient agencies fulfill the pre conditions as prescribed by the central government. ",", 2005_Operational_guidelines_2013",39,108,en,"12.3.2 the state government should be responsible for ensuring efficient fund management not only at the state level, but also at the district pia level. Funds from segf will be released to the districts only if the fund recipient agencies fulfill the pre-conditions as prescribed by the central government.",0.47298283700870497,i
504,11143,"1 2.4.2 the ministry has provided a facility in nregasoft for submission of online proposals for release of central share of funds under . online submission of financial proposal is a part of fund management module inbuilt into this nregasoft. while the release of 1 st tranche of central share under  is based on proportionate fund requirement as per the agreed to labour budget lb, the 2 nd tranche relies on estimated amount needed to finance the remaining period. online submission process has been customised accordingly, to examine online fund release requests from states.",", 2005_Operational_guidelines_2013",39,108,en,"12.4.2 the ministry has provided a facility in nregasoft for submission of online proposals for release of central share of funds under . Online submission of financial proposal is a part of fund management module inbuilt into this nregasoft. While the release of 1 ST tranche of central share under  is based on proportionate fund requirement as per the agreed to labour budget lb, the 2 ND tranche relies on estimated amount needed to finance the remaining period. Online submission process has been customised accordingly, to examine online fund release requests from states.",0.45015461848248794,i
510,6312,"through receive fund option gp can receive the following funds  fund received from state  fund received from dpc  fund received from po release of last year but received during the year  miscellaneous receipts  opening balance 1 2.5.1 as per the provision of section 1 8 of the act, the state government is required to make available, to the district programme coordinator and the programme officers, necessary staff and technical support as may be necessary for effective implementation of the scheme. ",", 2005_Operational_guidelines_2013",39,113,en,"Through receive fund option GP can receive the following funds  fund received from state  fund received from DPC fund received from po release of last year but received during the year  miscellaneous receipts  opening balance 12.5.1 as per the provision of section 18 of the act, the state government is required to make available, to the district programme coordinator and the programme officers, necessary staff and technical support as may be necessary for effective implementation of the scheme.",0.451695565300941,i
634,5101,for funds for technical & managerial expertise central  state finance commission grants programme staff for implementation of any of the schemes shown on the left national rural livelihood missioner integrated watershed management programme wimp total sanitation programme tsc backward region grant fund brag ashtray krishi visas yojana york err ministry of water resources national afforestation programme nap prada mantra grain sadat yojanapmgsy national horticulture mission ohm schemes funded from state budget 1 5.2.1 some illustrations of existing arrangements for convergence between  and other schemes are shown in annexure. 3 6,", 2005_Operational_guidelines_2013",39,140,en,For funds for technical & managerial expertise central  state finance commission grants programme staff for implementation of any of the schemes shown on the left national rural livelihood missioner integrated watershed management programme wimp total sanitation programme TSC backward region grant fund brag ashtray krishi visas yojana york err ministry of water resources national afforestation programme nap prada mantra grain sadat yojanapmgsy national horticulture mission ohm schemes funded from state budget 15.2.1 some illustrations of existing arrangements for convergence between  and other schemes are shown in annexure. 36,0.513813866060428,i
970,347,"i a full time additional dpc exclusively appointed for  should, look into the day to day operations of  and provide leadership in programme implementation at the district level. ii the additional dpc would report to dpc and ceo, state employment guarantee mission segm. iii the additional dpc should be given technical support by specialists in agriculture engineering civil engineering, agriculture horticulture, mis, capacity building and social mobilization. iv the additional district programme coordinator would head the district es unit comprises of functional wings such as works, finance and accounts, quality control and vigilance, social audit, mis, horticulture, natural resource management nrm, capacity building etc.",", 2005_Operational_guidelines_2013",39,41,en,"I a full-time additional DPC exclusively appointed for  should, look into the day-to-day operations of  and provide leadership in programme implementation at the district level. Ii the additional DPC would report to DPC and ceo, state employment guarantee mission segm. Iii the additional DPC should be given technical support by specialists in agriculture engineering civil engineering, agriculture horticulture, mis, capacity building and social mobilization. Iv the additional district programme coordinator would head the district es unit comprises of functional wings such as works, finance and accounts, quality control and vigilance, social audit, mis, horticulture, natural resource management nrm, capacity building etc.",0.459225381524819,n
983,1426,for this a cascading network of capacity building institutions needs to be created. states should assess requirements of funds for capacity building and consider earmarking funds for capacity building from the administrative expense head.,", 2005_Operational_guidelines_2013",39,47,en,For this a cascading network of capacity building institutions needs to be created. States should assess requirements of funds for capacity building and consider earmarking funds for capacity building from the administrative expense head.,0.46603371042873204,i
1125,1137,"ecs es is an electronic mode of payment  receipt for transactions that are repetitive in nature. essentially, es facilitates bulk transfer of monies from one bank account to many bank accounts or vice versa.a significant reason for delay of wage payments is non availability of sufficient funds at district block gp level. often it happens that while in some distributorships in a state, there is shortage of  funds, in others there is surplus fund lying unutilised. once the  fund is allotted to a districtblockgp, it is very difficult to transfer funds across districtsblocksgps. fund allocation, hence becomes an arduous task in implementation of . ii to meet this challenge, the states must adopt an integrated fund management system called e fms electronic fund management system which ensures that idle funds are not lying at any level. under e fms, the  fund is a centrally pooled fund maintained at the state level. all project implementing agencies across the state, are the users of this centralized fund and have access to this pooled fund with certain restrictions. pias make electronic transactions through the centralized fund, for the purpose of nonadministrative payments. with certain ceilings. all electronic transfers are realized in a span of 2 4 hours. based on this principle of centralized fund & de centralized utility, the e fms ensures timely availability of funds at all levels and transparent usage of  funds. this improves efficiency of the program on the whole and also has a positive effect on timely payment of wages.",", 2005_Operational_guidelines_2013",39,79,en,"Ecs es is an electronic mode of payment  receipt for transactions that are repetitive in nature. Essentially, es facilitates bulk transfer of monies from one bank account to many bank accounts or vice versa.a significant reason for delay of wage payments is non-availability of sufficient funds at district block GP level. Often it happens that while in some distributorships in a state, there is shortage of  funds, in others there is surplus fund lying unutilised. Once the  fund is allotted to a districtblockgp, it is very difficult to transfer funds across districtsblocksgps. Fund allocation, hence becomes an arduous task in implementation of . Ii to meet this challenge, the states must adopt an integrated fund management system called e-fms electronic fund management system which ensures that idle funds are not lying at any level. Under e-fms, the  fund is a centrally pooled fund maintained at the state level. All project implementing agencies across the state, are the users of this centralized fund and have access to this pooled fund with certain restrictions. Pias make electronic transactions through the centralized fund, for the purpose of nonadministrative payments. With certain ceilings. All electronic transfers are realized in a span of 24 hours. Based on this principle of centralized fund & de-centralized utility, the e-fms ensures timely availability of funds at all levels and transparent usage of  funds. This improves efficiency of the program on the whole and also has a positive effect on timely payment of wages.",0.4581570569197249,n
1128,647,8.5  8.5.1 an ideal payment schedule that is based on e fms and leverages core banking solutions cbs of banks and neftrtgsecs platforms for payment settlement is as follows crediting the accounts of workers through emfs disbursement of wages by paying agency 8.5.2 the postal department is also working on a solution that electronically connects all the bpos,", 2005_Operational_guidelines_2013",39,81,en,8.58.5.1 an ideal payment schedule that is based on e-fms and leverages core banking solutions cbs of banks and neftrtgsecs platforms for payment settlement is as follows crediting the accounts of workers through emfs disbursement of wages by paying agency 8.5.2 the postal department is also working on a solution that electronically connects all the bpos,0.456637717617641,n
1626,888,"the money would be deposited in the village development fund vdf, which each jfmc edc will establish, if not already established, at the start of the project, and used as a revolving fund for undertaking safes and also as a corpus for leveraging assistance from banks and other financial institutions. the micro finance principles may be adopted for augmentation and use of the vdf. activities like developing businesses development plan for smfe, organizing self ",- 2009,39,10,en,"The money would be deposited in the village development fund vdf, which each JFMC edc will establish, if not already established, at the start of the project, and used as a revolving fund for undertaking safes and also as a corpus for leveraging assistance from banks and other financial institutions. The micro-finance principles may be adopted for augmentation and use of the vdf. Activities like developing businesses development plan for smfe, organizing self-",0.5948119463527671,i
1648,1494,2. provide support and assistance to jfmcs for micro planning and approve the microplans.,- 2009,39,16,en,2. Provide support and assistance to JFMCS for micro planning and approve the microplans.,0.45058362948062397,i
1653,11155,"8. promote raising of capital through venture fund, loan, deposits, micro finance, grant, fees and other receipts, and in any other permitted manner, and use it for financing or refinancing activities related to improvement of forest resources and livelihoods of the forest fringe people.",- 2009,39,17,en,"8. Promote raising of capital through venture fund, loan, deposits, micro-finance, grant, fees and other receipts, and in any other permitted manner, and use it for financing or refinancing activities related to improvement of forest resources and livelihoods of the forest fringe people.",0.599112855144395,i
1721,12514,v overheads may include expenditure on hired staff including for purpose of finance and accounts  ,- 2009,39,9,en,V overheads may include expenditure on hired staff including for purpose of finance and accounts,0.46859672487968296,n
1741,11158,biodiversity board by way of grants or loans such sums of money as the state government may think fit for being utilised for the purposes of this act. ,", 2002",39,13,en,Biodiversity board by way of grants or loans such sums of money as the state government may think fit for being utilised for the purposes of this act.,0.451139302305935,i
1759,2390,"4 2. grants to local biodiversity fund.the state government may, after due appropriation made by state legislature by law in this behalf, pay to the local biodiversity funds by way of grants or loans such sums of money as the state government may think fit for being utilised for the purposes of this act. ",", 2002",39,15,en,"42. Grants to local biodiversity fund.the state government may, after due appropriation made by state legislature by law in this behalf, pay to the local biodiversity funds by way of grants or loans such sums of money as the state government may think fit for being utilised for the purposes of this act.",0.455424755579281,i
1780,5219,"2 6. grants or loans by the central government. 2 7. constitution of national biodiversity fund. 2 8. annual report of national biodiversity authority. 2 9. budget, accounts and audit. 3 0. annual report to be laid before parliament. ",", 2002",39,2,en,"26. Grants or loans by the central government. 27. Constitution of national biodiversity fund. 28. Annual report of national biodiversity authority. 29. Budget, accounts and audit. 30. Annual report to be laid before parliament.",0.459140138043562,i
1888,23612,"the following actions will be taken a strengthen, including through capacity building, the initiatives, taken by the central statistical organization in the area of natural resource accounting, with a view to its adoption in the system of national income accounts. further strengthen in all respects, the system of collection, collation and analysis of all significant and relevant environmental monitoring data.develop and promote the use of standardized environmental accounting practices and norms in preparation of statutory financial statements for large industrial enterprises, in order to encourage greater environmental responsibility in investment decision making, management practices, and public scrutiny.encourage financial institutions to adopt appropriate appraisal practices, so that environmental risks are adequately considered in the financing of projects.facilitate the integration of environmental values into cost benefit analysis, to encourage more efficient allocation of resources while making public investment decisions.prepare and implement an action plan on the use of economic instruments for environmental regulation in specified contexts, including those relating to unsustainable production and consumption.consider creation of a national environment restoration fund from the net proceeds of economic instruments, user fees for access to specified natural resources, and voluntary contributions. the fund may be used for restoration of environmental resources, including clean up of toxic and hazardous waste legacies. a review the regulatory processes for mos so that all relevant scientific knowledge is taken into account, and ecological, health, and economic concerns are adequately addressed.periodically review the national bio safety guidelines, and bio safety operations manual to ensure that these are based on current scientific knowledge.ensure the conservation of bio diversity and human health when dealing with mos in transboundary movement in a manner consistent with the multilateral bio safety protocol.",.National Environment Policy 2006,39,25,en,"The following actions will be taken a strengthen, including through capacity building, the initiatives, taken by the central statistical organization in the area of natural resource accounting, with a view to its adoption in the system of national income accounts. Further strengthen in all respects, the system of collection, collation and analysis of all significant and relevant environmental monitoring data.develop and promote the use of standardized environmental accounting practices and norms in preparation of statutory financial statements for large industrial enterprises, in order to encourage greater environmental responsibility in investment decision-making, management practices, and public scrutiny.encourage financial institutions to adopt appropriate appraisal practices, so that environmental risks are adequately considered in the financing of projects.facilitate the integration of environmental values into cost-benefit analysis, to encourage more efficient allocation of resources while making public investment decisions.prepare and implement an action plan on the use of economic instruments for environmental regulation in specified contexts, including those relating to unsustainable production and consumption.consider creation of a national environment restoration fund from the net proceeds of economic instruments, user fees for access to specified natural resources, and voluntary contributions. The fund may be used for restoration of environmental resources, including clean-up of toxic and hazardous waste legacies. A review the regulatory processes for mos so that all relevant scientific knowledge is taken into account, and ecological, health, and economic concerns are adequately addressed.periodically review the national bio-safety guidelines, and bio-safety operations manual to ensure that these are based on current scientific knowledge.ensure the conservation of bio-diversity and human health when dealing with mos in transboundary movement in a manner consistent with the multilateral bio-safety protocol.",0.45741752729166796,i
1976,7163,"the following will comprise elements of an action plan a encourage capacity building in the financial sector for appraising clean technology switchover projectset up a mechanism to network technology research institutions in the country, public and private, for cooperation in technology research and development and adaptation, information, and evaluation of clean technologies. create a database of such technologies, and promote dissemination of new technologiesconsider use of revenue enhancing fiscal instruments to promote shifts to clean technologies in both existingpromote adoption of clean technologies by industry, in particular in the small and medium sector, through regulatory and fiscal measures, and standards setting.",.National Environment Policy 2006,39,51,en,"The following will comprise elements of an action plan a encourage capacity building in the financial sector for appraising clean technology switchover projectset up a mechanism to network technology research institutions in the country, public and private, for cooperation in technology research and development and adaptation, information, and evaluation of clean technologies. Create a database of such technologies, and promote dissemination of new technologiesconsider use of revenue enhancing fiscal instruments to promote shifts to clean technologies in both existingpromote adoption of clean technologies by industry, in particular in the small and medium sector, through regulatory and fiscal measures, and standards setting.",0.526415652491096,i
2184,9222, what is the progress in developing appropriate technology? 3.3 1202 0  what is the progress in assessing protected area sustainable  what is the progress in improving protected area sustainable finance? 3.4 ,-en,39,8,en,What is the progress in developing appropriate technology? 3.312020  what is the progress in assessing protected area sustainable  what is the progress in improving protected area sustainable finance? 3.4,0.457158367538919,i
2239,4226,"2 1. the national authority may invest its funds, including any reserve fund, in the securities of the central government and in scheduled banks in such manner as may be prescribed provided that the grants received from the central government shall not be invested and shall be utilised for the purposes and in the manner attached to it.",", 2016",39,13,en,"21. The national authority may invest its funds, including any reserve fund, in the securities of the central government and in scheduled banks in such manner as may be prescribed provided that the grants received from the central government shall not be invested and shall be utilised for the purposes and in the manner attached to it.",0.4797249545060471,n
2251,5225,2 6. state authority may invest funds available in the state fund of such state in the securities of the central government and in scheduled banks in such manner as may be prescribed provided that the grants received from the state government shall not be invested and shall be utilised for the purpose and in the manner prescribed.,", 2016",39,14,en,26. State authority may invest funds available in the state fund of such state in the securities of the central government and in scheduled banks in such manner as may be prescribed provided that the grants received from the state government shall not be invested and shall be utilised for the purpose and in the manner prescribed.,0.5013171534023211,n
2379,31614,"38 e.grants and loans to authority and constitution of fund.1 the central government may, after due appropriation made by parliament by law in this behalf, make to the authority grants and loans of such sums of money as that government may consider necessary. ",", 1972",39,25,en,"38 e.grants and loans to authority and constitution of fund.1 the central government may, after due appropriation made by parliament by law in this behalf, make to the authority grants and loans of such sums of money as that government may consider necessary.",0.48303315128516294,i
2640,6130,5.6.1 there is need for setting up of special purpose vehicles banking institutions to address specific needs of agroforestry sector. agroforestry sector should also be benefited with the provisions of interest subvention in the line of agricultural credit. dedicated farmers producers organizations fpo be promoted to organize the farmers and take up agroforestry at economies of scale.,.National Agroforestry Policy_2014,39,11,en,5.6.1 there is need for setting up of special purpose vehicles banking institutions to address specific needs of agroforestry sector. Agroforestry sector should also be benefited with the provisions of interest subvention in the line of agricultural credit. Dedicated farmers producers organizations fpo be promoted to organize the farmers and take up agroforestry at economies of scale.,0.49286045092699604,i
2658,8227," marketing infrastructure including market information system to be put in place with active collaboration of private sector. contract farming, public private partnership, special purpose vehicles mechanisms may also be explored to promote and upscale agroforestry. road side canal side barren community land other non forest waste lands to be encouraged for plantation of agroforestry tree species to provide opportunities of economic returns as well as contributing towards ecological benefits. these activities may be promoted through public private partnership mode.",.National Agroforestry Policy_2014,39,13,en,"Marketing infrastructure including market information system to be put in place with active collaboration of private sector. Contract farming, public private partnership, special purpose vehicles mechanisms may also be explored to promote and upscale agroforestry. Road side canal side barren community land other non-forest waste lands to be encouraged for plantation of agroforestry tree species to provide opportunities of economic returns as well as contributing towards ecological benefits. These activities may be promoted through public private partnership mode.",0.452373281080369,i
2660,1599," specific products special purpose vehicles may be devised to meet the credit and insurance needs of agroforestry sector. interest subvention in the line of agricultural credit be extended to agroforestry sector. agroforestry commodities also be enlisted under warehouse development and regulation act 200 7 ward for ensuring adoption of quality standards of the warehousing manual for operationalizing of warehousing development and regulation act, 200 7 so as to become eligible for availing finance for harvested produce of agroforestry. ",.National Agroforestry Policy_2014,39,14,en,"Specific products special purpose vehicles may be devised to meet the credit and insurance needs of agroforestry sector. Interest subvention in the line of agricultural credit be extended to agroforestry sector. Agroforestry commodities also be enlisted under warehouse development and regulation act 2007 ward for ensuring adoption of quality standards of the warehousing manual for operationalizing of warehousing development and regulation act, 2007 so as to become eligible for availing finance for harvested produce of agroforestry.",0.502336357647822,i
2674,4328,"2.7 institutional finance and insurance coverage institutional finance in agroforestry has not been at par with its potential due to the lack of awareness of technical and economic data on different agroforestry models, and the techno economic parameters required by financial institutions phi to evaluate finance needs and viability of the projects. similarly, little is done in developing and popularizing insurance products for agroforestry ventures. lack of awareness, unavailability of products suitable to growers, high cost of premium and unclear procedure of claim settlements are reported to be the factors responsible for this poor state of affairs. ",.National Agroforestry Policy_2014,39,5,en,"2.7 institutional finance and insurance coverage institutional finance in agroforestry has not been at par with its potential due to the lack of awareness of technical and economic data on different agroforestry models, and the techno-economic parameters required by financial institutions phi to evaluate finance needs and viability of the projects. Similarly, little is done in developing and popularizing insurance products for agroforestry ventures. Lack of awareness, unavailability of products suitable to growers, high cost of premium and unclear procedure of claim settlements are reported to be the factors responsible for this poor state of affairs.",0.541104483980664,i
2684,7135,"5.1 establishment of institutional setup at national level to promote agroforestry 5.1.1 an institutional mechanism, such as a mission or board is to be established for implementing the agroforestry policy. it will provide the platform for the multi stakeholders to jointly plan and identify the priorities and strategies, for inter ministerial coordination, programmatic convergence, financial resources mobilization and leveraging, capacity building facilitation, and technical and management support. such an institutional arrangement will ensure that agroforestry gets equal treatment with other agriculture enterprises, because at present whether in the sphere of inputs, markets, institutional finance, or research and extension, agroforestry is at a sub optimal level. a suitable mechanism for coordination and convergence with state agriculture, and forest departments as nodal agencies may be established. the mission  board may be provided a corpus in order to effectively leverage rs. 400 0 500 0 crores annually from the on going programmes.",.National Agroforestry Policy_2014,39,7,en,"5.1 establishment of institutional setup at national level to promote agroforestry 5.1.1 an institutional mechanism, such as a mission or board is to be established for implementing the agroforestry policy. It will provide the platform for the multi-stakeholders to jointly plan and identify the priorities and strategies, for inter-ministerial coordination, programmatic convergence, financial resources mobilization and leveraging, capacity building facilitation, and technical and management support. Such an institutional arrangement will ensure that agroforestry gets equal treatment with other agriculture enterprises, because at present whether in the sphere of inputs, markets, institutional finance, or research and extension, agroforestry is at a sub-optimal level. A suitable mechanism for coordination and convergence with state agriculture, and forest departments as nodal agencies may be established. The mission  board may be provided a corpus in order to effectively leverage rs. 4000-5000 crores annually from the on-going programmes.",0.5238623826684721,i
2826,21617,ix financial support banking support through facilitating easy access to credit for eligible farmers and rationalization of cumbersome and lengthy procedures for sanction and disbursement of bank loans for agro forestry plantations. ,Bansal Committee Report,39,32,en,Ix financial support banking support through facilitating easy access to credit for eligible farmers and rationalization of cumbersome and lengthy procedures for sanction and disbursement of bank loans for agro forestry plantations.,0.511842858183323,i
3501,8147,"i coordinating preparation of dips and sip; ii coordinating preparation and appraisal of projects, implementing, monitoring, and evaluation with various departments and implementing agencies. iii management of funds received from the central, and state governments and disbursement of the funds to the implementing agencies. ",Guidelines_English _PMKSY,39,10,en,"I coordinating preparation of dips and sip; ii coordinating preparation and appraisal of projects, implementing, monitoring, and evaluation with various departments and implementing agencies. Iii management of funds received from the central, and state governments and disbursement of the funds to the implementing agencies.",0.493741370904256,n
3517,3539,"central assistance under pmksy will be released as per extant guidelines of the ministry of finance, govt. of india. ",Guidelines_English _PMKSY,39,16,en,"Central assistance under pmksy will be released as per extant guidelines of the ministry of finance, govt. Of india.",0.492023348974912,n
