,Unnamed: 0,sentences,name,country,page,languages,legible,results,class
473,922,"the agro based private sector comprises both profit driven and not for profit civil society non state actors. such actors could be broadly categorized into farmer or producer organizations that include  primary producers individual farmers and producer companies, farmers producer groups, producer organizations, commodity based associations, farmer federations * various categories of cooperatives, agribusiness firms, individual entrepreneurs, cooperative societies, agricultural input dealers  agricultural commodity processors, packaging agents, transporters and warehousing agents * financial service providers microfinance institutions, commercial banks, saccos, and agribusiness development * technical and professional service providersextension, research, insurance, legal, consultancy, quality assurance and education, training, information  civilsociety, local and international ngos, faith based organizations, community based organizations, other resource mobilization organizations and opinion leaders the kenya private sector alliance keepsake is a coalition of private sector institutions such as business associations, federations and professional bodies. keepsake engages government in structured consultations and policy dialogue towards improving the business environment, accelerating transformation of public sector institutions, promoting private sector cultural change, facilitating growth through expansion of trade, improving productivity and competitiveness of enterprises, and supporting entrepreneurship and development of micro and small enterprises in line with the national development agenda. private sector issues are consolidated into one major agenda cutting across all sectors of the economy. individual organizations identify key priority areas and work together with the government to find practical solutions to issues.",Agriculture Sectoral Development Strategy,12,86,en,"The agro-based private sector comprises both profit-driven and not-for-profit civil society non-state actors. Such actors could be broadly categorized into farmer or producer organizations that include  primary producers individual farmers and producer companies, farmers producer groups, producer organizations, commodity-based associations, farmer federations * various categories of cooperatives, agribusiness firms, individual entrepreneurs, cooperative societies, agricultural input dealers  agricultural commodity processors, packaging agents, transporters and warehousing agents * financial service providers microfinance institutions, commercial banks, saccos, and agribusiness development * technical and professional service providersextension, research, insurance, legal, consultancy, quality assurance and education, training, information  civilsociety, local and international ngos, faith-based organizations, community based organizations, other resource mobilization organizations and opinion leaders the kenya private sector alliance keepsake is a coalition of private sector institutions such as business associations, federations and professional bodies. Keepsake engages government in structured consultations and policy dialogue towards improving the business environment, accelerating transformation of public sector institutions, promoting private sector cultural change, facilitating growth through expansion of trade, improving productivity and competitiveness of enterprises, and supporting entrepreneurship and development of micro and small enterprises in line with the national development agenda. Private sector issues are consolidated into one major agenda cutting across all sectors of the economy. Individual organizations identify key priority areas and work together with the government to find practical solutions to issues.",0.415936579916456,n
475,1117,"in agriculture, the private sector constitutes beneficiaries and resource mobilizers to transform economic operations. it is the vehicle for requisite investments to transform agriculture towards increased productivity, agribusiness, and infrastructure development.",Agriculture Sectoral Development Strategy,12,86,en,"In agriculture, the private sector constitutes beneficiaries and resource mobilizers to transform economic operations. It is the vehicle for requisite investments to transform agriculture towards increased productivity, agribusiness, and infrastructure development.",0.44191127360667204,n
525,109,the government will also implement an effective institutional framework to ensure a coordination mechanism to facilitate multi sectoral development in the region.,Agriculture Sectoral Development Strategy,12,98,en,The government will also implement an effective institutional framework to ensure a coordination mechanism to facilitate multi-sectoral development in the region.,0.42708598036419304,n
623,1817,2 an agreement relating to investment in community land shall only be made between the investor and the community.,Community Land Act,12,17,en,2 an agreement relating to investment in community land shall only be made between the investor and the community.,0.40356437700142694,n
749,1723,"2 2. 1 the kenya forestry research institute, as established under the science, technology and innovation act, 201 3, shall be the agency in forestry research and development.",Forest Conservation and Management Act,12,10,en,"22. 1 the kenya forestry research institute, as established under the science, technology and innovation act, 2013, shall be the agency in forestry research and development.",0.404369175091748,n
753,935,part ii 2 3. the funds of the service shall consist of  funds of the service.,Forest Conservation and Management Act,12,11,en,Part ii 23. The funds of the service shall consist of  funds of the service.,0.43835588815263793,n
879,8115,"5 4. 1 the cabinet secretary for the national treasury, may on the recommendation by the cabinet secretary, propose tax and other fiscal incentives to increase investments in forest land use and forest resource utilization in order to promote forest conservation and management, and to prevent or abate forest degradation.",Forest Conservation and Management Act,12,33,en,"54. 1 the cabinet secretary for the national treasury, may on the recommendation by the cabinet secretary, propose tax and other fiscal incentives to increase investments in forest land use and forest resource utilization in order to promote forest conservation and management, and to prevent or abate forest degradation.",0.40681595258298203,i
1013,2120,"in the context of climate change, technology transfer is defined as a broad set of processes covering the flows of know how, experience and equipment for mitigating and adapting to climate change amongst different stakeholders such as governments, private sector entities, financial institutions, nongovernmental organisations and research education institutions.",National Climate Responses Strategy,12,105,en,"In the context of climate change, technology transfer is defined as a broad set of processes covering the flows of know-how, experience and equipment for mitigating and adapting to climate change amongst different stakeholders such as governments, private sector entities, financial institutions, nongovernmental organisations and research education institutions.",0.407282079252741,n
1019,1233,"the un report acting on climate change the un system delivering as one 200 8 identified undo as one of the un bodies through which coordination of the transfer of clean technology to the developing world can be facilitated. uni dos role as a host organisation for the cleaner production cp, which was created to foster environmentally sound production and consumption in developing countries, also makes it a suitable channel for transfer of technology. kenya has an active cleaner production centre, the kenya national cleaner production centre kncpc. some of the past and ongoing mitigation programmes of the knock include those in industrial energy management and cdm opportunities, as well as waste minimisation with tandem methane reduction, among others.",National Climate Responses Strategy,12,107,en,"The un report acting on climate change the un system delivering as one 2008 identified undo as one of the un bodies through which coordination of the transfer of clean technology to the developing world can be facilitated. Uni dos role as a host organisation for the cleaner production cp, which was created to foster environmentally sound production and consumption in developing countries, also makes it a suitable channel for transfer of technology. Kenya has an active cleaner production centre, the kenya national cleaner production centre kncpc. Some of the past and ongoing mitigation programmes of the knock include those in industrial energy management and CDM opportunities, as well as waste minimisation with tandem methane reduction, among others.",0.406932588305169,n
1020,15114,"most climate friendly technologies have so far been developed and used in developed countries, from where they are expected to transfer to developing countries through well known channels including trade, foreign direct investment fdic and cross border technology licensing. in order to attract these technologies, the government needs to tackle barriers that have and continue to hinder fdic in the country. these include insufficient human capabilities, high transaction costs, trade and policy barriers as well as institutional limitations such as weak intellectual property protection laws and enforcement.",National Climate Responses Strategy,12,107,en,"Most climate-friendly technologies have so far been developed and used in developed countries, from where they are expected to transfer to developing countries through well-known channels including trade, foreign direct investment fdic and cross-border technology licensing. In order to attract these technologies, the government needs to tackle barriers that have and continue to hinder fdic in the country. These include insufficient human capabilities, high transaction costs, trade and policy barriers as well as institutional limitations such as weak intellectual property protection laws and enforcement.",0.43327829858513794,d
1027,2123,"and adaptive innovation processes within developing countries facilitate the diffusion and development of technologies.*? this requires sufficient innovation capabilities amongst developing country firms, universities and research institutes, and appropriate links with public sector actors including production sectors.",National Climate Responses Strategy,12,109,en,"And adaptive innovation processes within developing countries facilitate the diffusion and development of technologies.*? This requires sufficient innovation capabilities amongst developing country firms, universities and research institutes, and appropriate links with public sector actors including production sectors.",0.41383845001263103,n
1029,10114,"it appears that a consensus is emerging on several elements of a future deal on a technology framework. notably, parties to the  seem likely to agree on the establishment of a technology body in the future climate change agreement, although the structure, mandate, name and funding of the proposed mechanism remain unclear. the creation of a technology body has been supported in particular by developing countries, specifically the g7 7 and china group, which proposed the establishment of a technology mechanism, comprising an executive body and a multilateral climate technology fund mctf, both subsidiary to the cop.",National Climate Responses Strategy,12,109,en,"It appears that a consensus is emerging on several elements of a future deal on a technology framework. Notably, parties to the  seem likely to agree on the establishment of a technology body in the future climate change agreement, although the structure, mandate, name and funding of the proposed mechanism remain unclear. The creation of a technology body has been supported in particular by developing countries, specifically the g77 and china group, which proposed the establishment of a technology mechanism, comprising an executive body and a multilateral climate technology fund mctf, both subsidiary to the cop.",0.425616318799326,d
1041,7213,"however, emca, 199 9 does not effectively address several climate change issues including e@ development of national inventories of anthropogenic emissions of ghg in kenya by source and removal of ghg by sinks,  national framework for carbon finance, e@ development of national and regional programmes to mitigate climate change by addressing anthropogenic emissions by source,  promotion of education, training and awareness on climate change; appropriate technology transfer arrangements and their authorisation, and @ access to environmentally sound technologies.",National Climate Responses Strategy,12,113,en,"However, emca, 1999 does not effectively address several climate change issues including e@ development of national inventories of anthropogenic emissions of GHG in kenya by source and removal of GHG by sinks,  national framework for carbon finance, e@ development of national and regional programmes to mitigate climate change by addressing anthropogenic emissions by source,  promotion of education, training and awareness on climate change; appropriate technology transfer arrangements and their authorisation, and @ access to environmentally-sound technologies.",0.42111869452307105,n
1043,1832,"within the doe, memr also established in 200 9 its national climate change coordinating office. this office now acts as the secretariat for the national climate change activities coordinating committee  established in 199 2 as a requirement under the . membership of the  is drawn from line ministries, academia and research institutions, non governmental organisations ngos as well as the private sector.",National Climate Responses Strategy,12,113,en,"Within the doe, memr also established in 2009 its national climate change coordinating office. This office now acts as the secretariat for the national climate change activities coordinating committee  established in 1992 as a requirement under the . Membership of the  is drawn from line ministries, academia and research institutions, non-governmental organisations ngos as well as the private sector.",0.40573765410151896,n
1056,5412,"this office of the secretariat shall comprise key government agencies with policy and law related functions including the office of the attorney general and key ngos. it shall, in conjunction with nema, initiate all necessary policy, legal, strategy and planning processes, and promote and cooperate on legal information on matters related to climate change. this office shall also play a key role in international climate change negotiations, as well as work with other government agencies to phase out subsidies that contravene the objectives of the .",National Climate Responses Strategy,12,116,en,"This office of the secretariat shall comprise key government agencies with policy and law related functions including the office of the attorney general and key ngos. It shall, in conjunction with nema, initiate all necessary policy, legal, strategy and planning processes, and promote and cooperate on legal information on matters related to climate change. This office shall also play a key role in international climate change negotiations, as well as work with other government agencies to phase out subsidies that contravene the objectives of the .",0.401161694976872,n
1066,383,"in addition, the strategy has established that institutions currently in place to govern climate change affairs are inadequate. it has consequently recommended a dedicated and adequately funded climate change secretariat be established within the ministry of environment and mineral resources to oversee climate change issues including the implementation of the adaptation and mitigation programmes and the other aspects of the national climate change response strategy. this institution, including the proposed structures within it see chapter 8, should be anchored on the provisions of the new climate change laws to be enacted.",National Climate Responses Strategy,12,13,en,"In addition, the strategy has established that institutions currently in place to govern climate change affairs are inadequate. It has consequently recommended a dedicated and adequately funded climate change secretariat be established within the ministry of environment and mineral resources to oversee climate change issues including the implementation of the adaptation and mitigation programmes and the other aspects of the national climate change response strategy. This institution, including the proposed structures within it see chapter 8, should be anchored on the provisions of the new climate change laws to be enacted.",0.445077184058799,n
