,Unnamed: 0,sentences,name,country,page,languages,legible,results,class
311,435,"low and declining soil fertility. the rising population density has contributed to the subdivision of land to uneconomically small units. in addition, the reduction of fallow periods and continuous cultivation have led to rapid depletion of soil nutrients, declining yields and environmental degradation.",Agriculture Sectoral Development Strategy,12,57,en,"Low and declining soil fertility. The rising population density has contributed to the subdivision of land to uneconomically small units. In addition, the reduction of fallow periods and continuous cultivation have led to rapid depletion of soil nutrients, declining yields and environmental degradation.",0.0961045936767351,n
324,156,"expanding markets for traditional products like maize and other cereals, beef and dairy products, tea, coffee and pyre thrum exist. global demand for horticultural products, and emerging livestock such as ostrich, guinea fowl, crocodile, frogs and butterflies, gum arabic, and emerging crops such as assorted resins and essential oils, and aloe remain underexploited. vast opportunities are opening up in the production of biofuels from sugar cane, maize, millet, sorghum, atrophy and other oil bearing seeds.",Agriculture Sectoral Development Strategy,12,59,en,"Expanding markets for traditional products like maize and other cereals, beef and dairy products, tea, coffee and pyre thrum exist. Global demand for horticultural products, and emerging livestock such as ostrich, guinea fowl, crocodile, frogs and butterflies, gum arabic, and emerging crops such as assorted resins and essential oils, and aloe remain underexploited. Vast opportunities are opening up in the production of biofuels from sugar cane, maize, millet, sorghum, atrophy and other oil-bearing seeds.",0.122126657853327,n
326,437,"potential for increasing yields. yields of crops and livestock are far below their optimum. yields of maize, sugar and dairy are one tenth of global potential. tripling national average yields of major crop and livestock production systems in the country is easily achievable.",Agriculture Sectoral Development Strategy,12,59,en,"Potential for increasing yields. Yields of crops and livestock are far below their optimum. Yields of maize, sugar and dairy are one-tenth of global potential. Tripling national average yields of major crop and livestock production systems in the country is easily achievable.",0.0986858310909147,n
340,438,"large scale farming is practised on farms averaging 5 0 ha. it accounts for 3 0 per cent of marketed agricultural produce. large scale farmers mainly grow tea, coffee, horticultural crops, maize and wheat. sustained high use of inputs and better management have ensured that these farmers have higher yields than their small scale counterparts.",Agriculture Sectoral Development Strategy,12,61,en,"Large-scale farming is practised on farms averaging 50 ha. It accounts for 30 per cent of marketed agricultural produce. Large-scale farmers mainly grow tea, coffee, horticultural crops, maize and wheat. Sustained high use of inputs and better management have ensured that these farmers have higher yields than their small-scale counterparts.",0.14110023853837303,n
380,246,"animal breeding. animal breeding is one of the key intervention areas for increased livestock productivity. currently, livestock productivity is negatively affected by poor genetic make up. the average milk yield is 5 litres per dairy cow per day; the carcass weight for beef animals is 12 0 kg. to increase overall productivity, these two parameters need to be improved through breeding using superior genetics. the country has a large and diverse reservoir of animal genetic resources. however, the database on species and breed diversity, population size, trends and distribution is inadequate and only available for a few species as no inventory or characterization has been undertaken. a complete inventory, characterization and documentation of animal genetic resources for conservation is needed.",Agriculture Sectoral Development Strategy,12,70,en,"Animal breeding. Animal breeding is one of the key intervention areas for increased livestock productivity. Currently, livestock productivity is negatively affected by poor genetic make-up. The average milk yield is 5 litres per dairy cow per day; the carcass weight for beef animals is 120 kg. To increase overall productivity, these two parameters need to be improved through breeding using superior genetics. The country has a large and diverse reservoir of animal genetic resources. However, the database on species and breed diversity, population size, trends and distribution is inadequate and only available for a few species as no inventory or characterization has been undertaken. A complete inventory, characterization and documentation of animal genetic resources for conservation is needed.",0.12356793808809698,n
384,641,"feed and nutrition. livestock feeding and nutrition determines the productivity of the various livestock breeds. the main livestock feeds consist of roughage, concentrates, minerals and vitamins. concentrate feeds consisting of protein, energy, minerals and vitamins are important especially for poultry, dairy and pig production. these feeds account for up to 8 0 per cent of production costs of farm animals.",Agriculture Sectoral Development Strategy,12,70,en,"Feed and nutrition. Livestock feeding and nutrition determines the productivity of the various livestock breeds. The main livestock feeds consist of roughage, concentrates, minerals and vitamins. Concentrate feeds consisting of protein, energy, minerals and vitamins are important especially for poultry, dairy and pig production. These feeds account for up to 80 per cent of production costs of farm animals.",0.130422183703504,n
385,164,"roughage sources is higher in these areas compared with the low rainfall areas where no inputs are used. grazing animals cattle, sheep, goats, camels, donkeys, etc. are fed on natural pastures or fodder with supplemental concentrates for high yielding animals.",Agriculture Sectoral Development Strategy,12,71,en,"Roughage sources is higher in these areas compared with the low-rainfall areas where no inputs are used. Grazing animals cattle, sheep, goats, camels, donkeys, etc. Are fed on natural pastures or fodder with supplemental concentrates for high-yielding animals.",0.0706554151142781,n
386,343,"some of the challenges in these regions include inadequate research on suitable forages, forage crop diseases, unavailability of planting material and lack of skills in forage management. use of rangelands for sustainable livestock production is hampered by seasonal variations of quality and quantity of forage; overstocking and overgrazing; tsetse infestation and communal conflicts; inadequate livestock support services, credit facilities and socio economic services; and weak infrastructure. non grazing animals such as pigs and poultry are fed mixed concentrates to meet their nutrient requirements. the concentrates are made from cereals such as maize, wheat, barley, oats, millet and sorghum, legumes and oilseed cakesoybean, cotton seed cake and sunflower and animal by products such as fishmeal, bloodmeal, meat and bonemeal. inconsistent supply of some of the ingredients especially the imported onesoil seed cake and meal, finer mineral elements, fishmeal, vitamins and amino acidshas a major effect on feed quality.",Agriculture Sectoral Development Strategy,12,71,en,"Some of the challenges in these regions include inadequate research on suitable forages, forage crop diseases, unavailability of planting material and lack of skills in forage management. Use of rangelands for sustainable livestock production is hampered by seasonal variations of quality and quantity of forage; overstocking and overgrazing; tsetse infestation and communal conflicts; inadequate livestock support services, credit facilities and socio-economic services; and weak infrastructure. Non-grazing animals such as pigs and poultry are fed mixed concentrates to meet their nutrient requirements. The concentrates are made from cereals such as maize, wheat, barley, oats, millet and sorghum, legumes and oilseed cakesoybean, cotton seed cake and sunflower and animal by-products such as fishmeal, bloodmeal, meat and bonemeal. Inconsistent supply of some of the ingredients especially the imported onesoil-seed cake and meal, finer mineral elements, fishmeal, vitamins and amino-acidshas a major effect on feed quality.",0.10108775021719901,n
387,444,"forage conservation is done as standing hay particularly in the asals, baled hay or silage. forage conservation is not widely practised. there is need to promote forage conservation in these areas to ensure feed availability during unfavourable conditions and feed scarcity for increased livestock productivity. this will include using various conservation technologies and establishing strategic feed reserves.",Agriculture Sectoral Development Strategy,12,71,en,"Forage conservation is done as standing hay particularly in the asals, baled hay or silage. Forage conservation is not widely practised. There is need to promote forage conservation in these areas to ensure feed availability during unfavourable conditions and feed scarcity for increased livestock productivity. This will include using various conservation technologies and establishing strategic feed reserves.",0.094553078698723,n
388,542,"kenyas agro ecological zones are suitable for producing cereals and leguminous crops. crop residues could be mixed with other fodders or processed for feeding animals, especially during the dry season. use of crop residues is constrained by inadequate knowledge on how to use them, limited conservation technologies, low nutritive value, post harvest loss and their bulkiness.",Agriculture Sectoral Development Strategy,12,71,en,"Kenyas agro-ecological zones are suitable for producing cereals and leguminous crops. Crop residues could be mixed with other fodders or processed for feeding animals, especially during the dry season. Use of crop residues is constrained by inadequate knowledge on how to use them, limited conservation technologies, low nutritive value, post-harvest loss and their bulkiness.",0.109268624051762,n
390,165,"has only 2 0 per cent of its required extension staff quota, a situation that is likely to deteriorate due to natural attrition and staff retirement.",Agriculture Sectoral Development Strategy,12,72,en,"Has only 20 per cent of its required extension staff quota, a situation that is likely to deteriorate due to natural attrition and staff retirement.",0.11779438801372999,n
393,543,"notifiable diseases that had hitherto been brought under control, such as the contagious bovine pleuropneumonia, contagious caprice pneumococcal and foot and mouth, are now being widely reported. zoonotic diseases particularly those transmitted through milk, such as tuberculosis and brucellosis, are also becoming important. kenya faces new challenges from emerging and re emerging diseases such as the avian influenza, the rift valley fever and ppr, which require rapid and expensive response to contain.",Agriculture Sectoral Development Strategy,12,72,en,"Notifiable diseases that had hitherto been brought under control, such as the contagious bovine pleuropneumonia, contagious caprice pneumococcal and foot and mouth, are now being widely reported. Zoonotic diseases particularly those transmitted through milk, such as tuberculosis and brucellosis, are also becoming important. Kenya faces new challenges from emerging and re-emerging diseases such as the avian influenza, the rift valley fever and ppr, which require rapid and expensive response to contain.",0.10470880117367402,n
395,819,"the asals constitute 8 0 per cent of kenyas total land surface. these areas support over 2 5 per cent of the human population and have over half of the countrys livestock population. asals are fragile ecosystems with scarce and erratic rainfall patterns. despite the enormous livestock potential, development in these areas has been low compared with the rest of the country.",Agriculture Sectoral Development Strategy,12,72,en,"The asals constitute 80 per cent of kenyas total land surface. These areas support over 25 per cent of the human population and have over half of the countrys livestock population. Asals are fragile ecosystems with scarce and erratic rainfall patterns. Despite the enormous livestock potential, development in these areas has been low compared with the rest of the country.",0.148842710400778,n
398,248,"during periods of extreme drought, there is widespread migration of livestock to areas with better pastures, invariably leading to the spread of diseases and economic losses where disease control measures have not been put in place.",Agriculture Sectoral Development Strategy,12,73,en,"During periods of extreme drought, there is widespread migration of livestock to areas with better pastures, invariably leading to the spread of diseases and economic losses where disease-control measures have not been put in place.",0.11378957455458,n
406,345,"animal health and quality assurance services are important in efforts to increase productivity, reduce losses along the production to marketing chain, and to promote local and export trade. the services also protect humans from zoonoses and diseases transmitted through consuming animal products like meat, milk and eggs. the prevalence of diseases and pests has had negative economic impact such as loss of livelihood, humans and animals, and has curtailed access to markets for animals and animal products. further, misuse and abuse of pesticides, veterinary drugs and vaccines have introduced residues to the food chain predisposing humans, animals and the environment to toxicity and making them less resistant to microbial activity.",Agriculture Sectoral Development Strategy,12,74,en,"Animal health and quality assurance services are important in efforts to increase productivity, reduce losses along the production to marketing chain, and to promote local and export trade. The services also protect humans from zoonoses and diseases transmitted through consuming animal products like meat, milk and eggs. The prevalence of diseases and pests has had negative economic impact such as loss of livelihood, humans and animals, and has curtailed access to markets for animals and animal products. Further, misuse and abuse of pesticides, veterinary drugs and vaccines have introduced residues to the food chain predisposing humans, animals and the environment to toxicity and making them less resistant to microbial activity.",0.14889995930659602,n
418,645,"improving animal productivity. through this component, _ livestock breeding programmes will be enhanced to improve local breeds and achieve faster growth rate and higher slaughter weights.",Agriculture Sectoral Development Strategy,12,76,en,"Improving animal productivity. Through this component,   livestock-breeding programmes will be enhanced to improve local breeds and achieve faster growth rate and higher slaughter weights.",0.140523466685549,n
