"","sentences","name","country","page","languages","legible","results"
"111","to strive to adopt mechanisms by which differences are settled through negotiation, good offices, mediation, conciliation and arbitration.","Constituion","Constituion","13","en","To strive to adopt mechanisms by which differences are settled through negotiation, good offices, mediation, conciliation and arbitration.",0.153989255588802
"131","to promote law and order and respect for society through civic education, by honest practices in government, adequate resourcing, and the humane application and enforcement of laws and policing standards.","Constituion","Constituion","13","en","To promote law and order and respect for society through civic education, by honest practices in government, adequate resourcing, and the humane application and enforcement of laws and policing standards.",0.323549704325466
"15","to achieve a sensible balance between the creation and distribution of wealth through the nurturing of a market economy and long term investment in health, education, economic and social development programmes.","Constituion","Constituion","13","en","To achieve a sensible balance between the creation and distribution of wealth through the nurturing of a market economy and long-term investment in health, education, economic and social development programmes.",0.370245076444771
"17","to introduce measures which will guarantee accountability, transparency, personal integrity and financial probity and which by virtue of their effectiveness and visibility will strengthen confidence in public institutions.","Constituion","Constituion","13","en","To introduce measures which will guarantee accountability, transparency, personal integrity and financial probity and which by virtue of their effectiveness and visibility will strengthen confidence in public institutions.",0.347904308364216
"19","the principles of national policy contained in this chapter shall be directory in nature but courts shall be entitled to have regard to them in interpreting and applying any of the provisions of this constitution or of any law or in determining the validity of decisions of the executive and in the interpretation of the provisions of this constitution.","Constituion","Constituion","13","en","The principles of national policy contained in this chapter shall be directory in nature but courts shall be entitled to have regard to them in interpreting and applying any of the provisions of this constitution or of any law or in determining the validity of decisions of the executive and in the interpretation of the provisions of this constitution.",0.155079870291761
"221","1. the human rights and freedoms enshrined in this chapter shall be respected and upheld by the executive, legislature, judiciary and all organs of the government and its agencies and, where applicable to them, by all natural and legal persons in malawi and shall be enforceable in the manner prescribed in this chapter.","Constituion","Constituion","13","en","1. The human rights and freedoms enshrined in this chapter shall be respected and upheld by the executive, legislature, judiciary and all organs of the government and its agencies and, where applicable to them, by all natural and legal persons in malawi and shall be enforceable in the manner prescribed in this chapter.",0.176841254951687
"24","2. any person or group of persons, natural or legal, with sufficient interest in the promotion, protection and enforcement of rights under this chapter shall be entitled to the assistance of the courts, the ombudsman, the human rights commission and other organs of the government to ensure the promotion, protection and enforcement of those rights and the redress of any grievances in respect of those rights.","Constituion","Constituion","13","en","2. Any person or group of persons, natural or legal, with sufficient interest in the promotion, protection and enforcement of rights under this chapter shall be entitled to the assistance of the courts, the ombudsman, the human rights commission and other organs of the government to ensure the promotion, protection and enforcement of those rights and the redress of any grievances in respect of those rights.",0.256881487377449
"5","1 6. the right to life right to life every person has the right to life and no person shall be arbitrarily deprived of his or her life provided that the execution of the death sentence imposed by a competent court on a person in respect of a criminal offence under the laws of malawi of which he or she has been convicted shall not be regarded as arbitrary deprivation of his or her right to life.","Constituion","Constituion","14","en","16. The right to life right to life every person has the right to life and no person shall be arbitrarily deprived of his or her life provided that the execution of the death sentence imposed by a competent court on a person in respect of a criminal offence under the laws of malawi of which he or she has been convicted shall not be regarded as arbitrary deprivation of his or her right to life.",0.127972634453459
"10","2. in any judicial proceedings or in any other proceedings before any organ of the state, and during the enforcement of a penalty, respect for human dignity shall be guaranteed.","Constituion","Constituion","14","en","2. In any judicial proceedings or in any other proceedings before any organ of the state, and during the enforcement of a penalty, respect for human dignity shall be guaranteed.",0.174440138587337
"112","3. no person shall be subject to torture of any kind or to cruel, inhuman or degrading treatment or punishment.","Constituion","Constituion","14","en","3. No person shall be subject to torture of any kind or to cruel, inhuman or degrading treatment or punishment.",0.0791504040622018
"132","4. no person shall be subject to corporal punishment in connexion with any judicial proceedings or in any other proceedings before any organ of the state.","Constituion","Constituion","14","en","4. No person shall be subject to corporal punishment in connexion with any judicial proceedings or in any other proceedings before any organ of the state.",0.121589232876337
"151","5. no person shall be subjected to medical or scientific experimentation without his or her consent.","Constituion","Constituion","14","en","5. No person shall be subjected to medical or scientific experimentation without his or her consent.",0.159963183575248
"222","1. discrimination of persons in any form is prohibited and all persons are, under any law, guaranteed equal and effective protection against discrimination on grounds of race, colour, sex, language, religion, political or other opinion, national, ethnic or social origin, disability, property, birth or other status or condition.","Constituion","Constituion","14","en","1. Discrimination of persons in any form is prohibited and all persons are, under any law, guaranteed equal and effective protection against discrimination on grounds of race, colour, sex, language, religion, political or other opinion, national, ethnic or social origin, disability, property, birth or other status or condition.",0.055580729358099
"241","2. legislation may be passed addressing inequalities in society and prohibiting discriminatory practices and the propagation of such practices and may render such practices criminally punishable by the courts.","Constituion","Constituion","14","en","2. Legislation may be passed addressing inequalities in society and prohibiting discriminatory practices and the propagation of such practices and may render such practices criminally punishable by the courts.",0.13379180395752
"113","2. each member of the family shall enjoy full and equal respect and shall be protected by law against all forms of neglect, cruelty or exploitation.","Constituion","Constituion","15","en","2. Each member of the family shall enjoy full and equal respect and shall be protected by law against all forms of neglect, cruelty or exploitation.",0.167614326047855
"133","3. all men and women have the right to marry and found a family. right to found a family right to marry 4. no person shall be forced to enter into marriage.","Constituion","Constituion","15","en","3. All men and women have the right to marry and found a family. Right to found a family right to marry 4. No person shall be forced to enter into marriage.",0.138947796377512
"141","5. subsections 3 and 4 shall apply to all marriages at law, custom and marriages by repute or by permanent cohabitation.","Constituion","Constituion","15","en","5. Subsections 3 and 4 shall apply to all marriages at law, custom and marriages by repute or by permanent cohabitation.",0.0828215416118305
"152","6. no person over the age of eighteen years shall be prevented from entering into marriage.","Constituion","Constituion","15","en","6. No person over the age of eighteen years shall be prevented from entering into marriage.",0.160018715850377
"191","1. all children, regardless of the circumstances of their birth, are entitled to equal treatment before the law, and the best interests and welfare of children shall be a primary consideration in all decisions affecting them.","Constituion","Constituion","15","en","1. All children, regardless of the circumstances of their birth, are entitled to equal treatment before the law, and the best interests and welfare of children shall be a primary consideration in all decisions affecting them.",0.13645866797687
"201","2. all children shall have the right to a given name and a family name and the right to a nationality.","Constituion","Constituion","15","en","2. All children shall have the right to a given name and a family name and the right to a nationality.",0.0966807186713933
"21","3. children have the right to know, and to be raised by, their parents.","Constituion","Constituion","15","en","3. Children have the right to know, and to be raised by, their parents.",0.166784194344443
"18","2. primary education shall consist of at least five years of education.","Constituion","Constituion","16","en","2. Primary education shall consist of at least five years of education.",0.217239154537269
"41","2 6. culture and language right to culture  protection of language use every person shall have the right to use the language and to participate in the cultural life of his or her choice.","Constituion","Constituion","17","en","26. Culture and language right to culture  protection of language use every person shall have the right to use the language and to participate in the cultural life of his or her choice.",0.162847547799986
"92","4. no person shall be subject to tied labour that amounts to servitude.","Constituion","Constituion","17","en","4. No person shall be subject to tied labour that amounts to servitude.",0.18437809978006
"101","1. every person shall be able to acquire property alone or in association with others.","Constituion","Constituion","17","en","1. Every person shall be able to acquire property alone or in association with others.",0.198349246370466
"142","every person shall have the right freely to engage in economic activity, to work and to pursue a livelihood anywhere in malawi.","Constituion","Constituion","17","en","Every person shall have the right freely to engage in economic activity, to work and to pursue a livelihood anywhere in malawi.",0.190505025446498
"16","1. all persons and peoples have a right to development and therefore to the enjoyment of economic, social, cultural and political development and women, children and persons with disabilities in particular shall be given special consideration in the application of this right.","Constituion","Constituion","17","en","1. All persons and peoples have a right to development and therefore to the enjoyment of economic, social, cultural and political development and women, children and persons with disabilities in particular shall be given special consideration in the application of this right.",0.216353723227627
"172","2. the state shall take all necessary measures for the realization of the right to development. such measures shall include, amongst other things, equality of opportunity for all in their access to basic resources, education, health services, food, shelter, employment and infrastructure.","Constituion","Constituion","17","en","2. The state shall take all necessary measures for the realization of the right to development. Such measures shall include, amongst other things, equality of opportunity for all in their access to basic resources, education, health services, food, shelter, employment and infrastructure.",0.347883892259847
"181","3. the state shall take measures to introduce reforms aimed at eradicating social injustices and inequalities.","Constituion","Constituion","17","en","3. The state shall take measures to introduce reforms aimed at eradicating social injustices and inequalities.",0.197978799089358
"192","4. the state has a responsibility to respect the right to development and to justify its policies in accordance with this responsibility.","Constituion","Constituion","17","en","4. The state has a responsibility to respect the right to development and to justify its policies in accordance with this responsibility.",0.294229895788223
"202","1. every person shall have the right to fair and safe labour practices and to fair remuneration.","Constituion","Constituion","17","en","1. Every person shall have the right to fair and safe labour practices and to fair remuneration.",0.187857893312028
"223","2. all persons shall have the right to form and join trade unions or not to form or join trade unions.","Constituion","Constituion","17","en","2. All persons shall have the right to form and join trade unions or not to form or join trade unions.",0.266285678355227
"242","3. every person shall be entitled to fair wages and equal remuneration for work of equal value without distinction or discrimination of any kind, in particular on basis of gender, disability or race.","Constituion","Constituion","17","en","3. Every person shall be entitled to fair wages and equal remuneration for work of equal value without distinction or discrimination of any kind, in particular on basis of gender, disability or race.",0.13761672681915
"281","1. every person shall have the right to freedom of association, which shall include the freedom to form associations.","Constituion","Constituion","17","en","1. Every person shall have the right to freedom of association, which shall include the freedom to form associations.",0.178322432108654
"51","3 3. freedom of conscience right to academic freedom  freedom of religion  freedom of conscientiousness every person has the right to freedom of conscience, religion, belief and thought, and to academic freedom.","Constituion","Constituion","18","en","33. Freedom of conscience right to academic freedom  freedom of religion  freedom of conscientiousness every person has the right to freedom of conscience, religion, belief and thought, and to academic freedom.",0.0825105737054987
"72","every person shall have the right to freedom of opinion, including the right to hold, receive and impart opinions without interference.","Constituion","Constituion","18","en","Every person shall have the right to freedom of opinion, including the right to hold, receive and impart opinions without interference.",0.173198758671401
"114","the press shall have the right to report and publish freely, within malawi and abroad, and to be accorded the fullest possible facilities for access to public information.","Constituion","Constituion","18","en","The press shall have the right to report and publish freely, within malawi and abroad, and to be accorded the fullest possible facilities for access to public information.",0.236527075059283
"134","every person shall have the right of access to all information held by the state or any of its organs at any level of government in so far as such information is required for the exercise of his or her rights.","Constituion","Constituion","18","en","Every person shall have the right of access to all information held by the state or any of its organs at any level of government in so far as such information is required for the exercise of his or her rights.",0.252083104379739
"153","every person shall have the right to assemble and demonstrate with others peacefully and unarmed.","Constituion","Constituion","18","en","Every person shall have the right to assemble and demonstrate with others peacefully and unarmed.",0.210851637987204
"173","1. every person shall have the right of freedom of movement and residence within the borders of malawi.","Constituion","Constituion","18","en","1. Every person shall have the right of freedom of movement and residence within the borders of malawi.",0.121001590318859
"182","2. every person shall have the right to leave the republic and to return to it.","Constituion","Constituion","18","en","2. Every person shall have the right to leave the republic and to return to it.",0.168073576306614
"32","2. the state shall, provide funds so as to ensure that, during the life of any parliament, any political party which has secured more than one tenth of the national vote in elections to that parliament has sufficient funds to continue to represent its constituency.","Constituion","Constituion","19","en","2. The state shall, provide funds so as to ensure that, during the life of any parliament, any political party which has secured more than one-tenth of the national vote in elections to that parliament has sufficient funds to continue to represent its constituency.",0.337511909400914
"42","3. save as otherwise provided in this constitution, every person shall have the right to vote, to do so in secret and to stand for election for any elective office.","Constituion","Constituion","19","en","3. Save as otherwise provided in this constitution, every person shall have the right to vote, to do so in secret and to stand for election for any elective office.",0.15793164210764
"73"," secret ballot  claim of universal suffrage 4 1. access to justice and legal remedies 1. every person shall have a right to recognition as a person before the law.","Constituion","Constituion","19","en","Secret ballot  claim of universal suffrage 41. Access to justice and legal remedies 1. Every person shall have a right to recognition as a person before the law.",0.126243891028774
"83","2. every person shall have the right of access to any court of law or any other tribunal with jurisdiction for final settlement of legal issues.","Constituion","Constituion","19","en","2. Every person shall have the right of access to any court of law or any other tribunal with jurisdiction for final settlement of legal issues.",0.211128691303512
"94","3. every person shall have the right to an effective remedy by a court of law or tribunal for acts violating the rights and freedoms granted to him or her by this constitution or any other law.","Constituion","Constituion","19","en","3. Every person shall have the right to an effective remedy by a court of law or tribunal for acts violating the rights and freedoms granted to him or her by this constitution or any other law.",0.141507814861783
"43","1. no restrictions or limitations may be placed on the exercise of any rights and freedoms provided for in this constitution other than those prescribed by law, which are reasonable, recognized by international human rights standards and necessary in an open and democratic society.","Constituion","Constituion","22","en","1. No restrictions or limitations may be placed on the exercise of any rights and freedoms provided for in this constitution other than those prescribed by law, which are reasonable, recognized by international human rights standards and necessary in an open and democratic society.",0.192998590321368
"52","2. laws prescribing restrictions or limitations shall not negate the essential content of the right or freedom in question, and shall be of general application.","Constituion","Constituion","22","en","2. Laws prescribing restrictions or limitations shall not negate the essential content of the right or freedom in question, and shall be of general application.",0.17319131435293
"64","3. expropriation of property shall be permissible only when done for public utility and only when there has been adequate notification and appropriate compensation, provided that there shall always be a right to appeal to a court of law.","Constituion","Constituion","22","en","3. Expropriation of property shall be permissible only when done for public utility and only when there has been adequate notification and appropriate compensation, provided that there shall always be a right to appeal to a court of law.",0.182898506853347
"84","4. wherever it is stated in this constitution that a person has the right to the services of a legal practitioner or medical practitioner of his or her own choice, that right shall be without limitation, save where the state is obliged to provide such services of a legal practitioner or medical practitioner, in which case an act of parliament may prescribe that the choice of the legal practitioner or medical practitioner should be limited to those in government service or employment.","Constituion","Constituion","22","en","4. Wherever it is stated in this constitution that a person has the right to the services of a legal practitioner or medical practitioner of his or her own choice, that right shall be without limitation, save where the state is obliged to provide such services of a legal practitioner or medical practitioner, in which case an act of parliament may prescribe that the choice of the legal practitioner or medical practitioner should be limited to those in government service or employment.",0.199719676095142
"102","4 5. derogation and public emergency emergency provisions 1. no derogation from rights contained in this chapter shall be permissible save to the extent provided for by this section and no such derogation shall be made unless there has been a declaration of a state of emergency within the meaning of this section.","Constituion","Constituion","22","en","45. Derogation and public emergency emergency provisions 1. No derogation from rights contained in this chapter shall be permissible save to the extent provided for by this section and no such derogation shall be made unless there has been a declaration of a state of emergency within the meaning of this section.",0.238835996722257
"121","6. the high court shall be competent to hear applications challenging the validity of a declaration of a state of emergency, any extension thereof, and any action taken, including any regulation enacted, under such declaration.","Constituion","Constituion","23","en","6. The high court shall be competent to hear applications challenging the validity of a declaration of a state of emergency, any extension thereof, and any action taken, including any regulation enacted, under such declaration.",0.255306252139697
"74","9. under no circumstance shall it be possible to suspend this constitution or any part thereof or dissolve any of its organs, save as is consistent with the provisions of this constitution.","Constituion","Constituion","24","en","9. Under no circumstance shall it be possible to suspend this constitution or any part thereof or dissolve any of its organs, save as is consistent with the provisions of this constitution.",0.149290757346208
"85","1. save in so far as it may be authorized to do so by this constitution, the national assembly or any subordinate legislative authority shall not make any law, and the executive and the agencies of government shall not take any action, which abolishes or abridges the rights and freedoms enshrined in this chapter, and any law or action in contravention thereof shall, to the extent of the contravention, be invalid.","Constituion","Constituion","24","en","1. Save in so far as it may be authorized to do so by this constitution, the national assembly or any subordinate legislative authority shall not make any law, and the executive and the agencies of government shall not take any action, which abolishes or abridges the rights and freedoms enshrined in this chapter, and any law or action in contravention thereof shall, to the extent of the contravention, be invalid.",0.208524375455937
"135","3. where a court referred to in subsection 2 a finds that rights or freedoms conferred by this constitution have been unlawfully denied or violated, it shall have the power to make any orders that are necessary and appropriate to secure the enjoyment of those rights and freedoms and where a court finds that a threat exists to such rights or freedoms, it shall have the power to make any orders necessary and appropriate to prevent those rights and freedoms from being unlawfully denied or violated.","Constituion","Constituion","24","en","3. Where a court referred to in subsection 2 a finds that rights or freedoms conferred by this constitution have been unlawfully denied or violated, it shall have the power to make any orders that are necessary and appropriate to secure the enjoyment of those rights and freedoms and where a court finds that a threat exists to such rights or freedoms, it shall have the power to make any orders necessary and appropriate to prevent those rights and freedoms from being unlawfully denied or violated.",0.113293167358095
"154","4. a court referred to in subsection 2 a shall have the power to award compensation to any person whose rights or freedoms have been unlawfully denied or violated where it considers it to be appropriate in the circumstances of a particular case.","Constituion","Constituion","24","en","4. A court referred to in subsection 2 a shall have the power to award compensation to any person whose rights or freedoms have been unlawfully denied or violated where it considers it to be appropriate in the circumstances of a particular case.",0.136881644524818
"174","5. the law shall prescribe criminal penalties for violations of those non derogable rights listed in section 4 4 1.","Constituion","Constituion","24","en","5. The law shall prescribe criminal penalties for violations of those non-derogable rights listed in section 44 1.",0.137572115107585
"44","1. every person who, immediately before the appointed day, was a citizen of malawi under any existing law shall continue to be a citizen of malawi after the appointed day.","Constituion","Constituion","25","en","1. Every person who, immediately before the appointed day, was a citizen of malawi under any existing law shall continue to be a citizen of malawi after the appointed day.",0.232597446344347
"66"," requirements for birthright citizenship 2. an act of parliament may make provision for the acquisition or loss of citizenship of malawi by any person after the appointed day, but citizenship shall not be arbitrarily denied or deprived.","Constituion","Constituion","25","en","Requirements for birthright citizenship 2. An act of parliament may make provision for the acquisition or loss of citizenship of malawi by any person after the appointed day, but citizenship shall not be arbitrarily denied or deprived.",0.150173144134851
"143","1. all legislative powers of the republic shall be vested in parliament which shall have the powers and responsibilities set out in this constitution.","Constituion","Constituion","25","en","1. All legislative powers of the republic shall be vested in parliament which shall have the powers and responsibilities set out in this constitution.",0.226580069267706
"155","2. an act of parliament shall have primacy over other forms of law, but shall be subject to this constitution.","Constituion","Constituion","25","en","2. An act of parliament shall have primacy over other forms of law, but shall be subject to this constitution.",0.131487947691365
"161","3. any question proposed for decision by the national assembly shall be decided by a majority of the votes of the members present and voting, unless this constitution or any other act of parliament otherwise provides.","Constituion","Constituion","25","en","3. Any question proposed for decision by the national assembly shall be decided by a majority of the votes of the members present and voting, unless this constitution or any other act of parliament otherwise provides.",0.174088894005971
"175","1. for the purposes of this constitution, unless otherwise provided, parliament consists of the national assembly and the president as head of state.","Constituion","Constituion","25","en","1. For the purposes of this constitution, unless otherwise provided, parliament consists of the national assembly and the president as head of state.",0.233580385110671
"25","1. the quorum of the national assembly shall be formed by the presence at the beginning of any sitting of at least one half plus one of the members of that chamber entitled to vote, not including the speaker or a presiding member.","Constituion","Constituion","25","en","1. The quorum of the national assembly shall be formed by the presence at the beginning of any sitting of at least one half plus one of the members of that chamber entitled to vote, not including the speaker or a presiding member.",0.138524253250863
"33","2. if it is brought to the attention of the speaker of the national assembly or presiding member by any member of parliament that there are less than the number of members prescribed by the standing orders and after such interval as may be prescribed by the standing orders, the speaker of the national assembly or presiding member ascertains that the number of members present is still less than that prescribed by the standing orders, he or she shall adjourn the proceedings of the national assembly.","Constituion","Constituion","26","en","2. If it is brought to the attention of the speaker of the national assembly or presiding member by any member of parliament that there are less than the number of members prescribed by the standing orders and after such interval as may be prescribed by the standing orders, the speaker of the national assembly or presiding member ascertains that the number of members present is still less than that prescribed by the standing orders, he or she shall adjourn the proceedings of the national assembly.",0.13579766471494
"203","3. for the purposes of subsection 2 e, an appointment as a minister or deputy minister in accordance with section 9 4 1 shall not be construed to be an appointment to a public office or to be a public appointment.","Constituion","Constituion","26","en","3. For the purposes of subsection 2 e, an appointment as a minister or deputy minister in accordance with section 94 1 shall not be construed to be an appointment to a public office or to be a public appointment.",0.225632947896239
"95","2. the members of the national assembly shall elect one or more from among themselves to be deputy speaker or deputy speakers of the national assembly at the first sitting after a general election.","Constituion","Constituion","27","en","2. The members of the national assembly shall elect one or more from among themselves to be deputy speaker or deputy speakers of the national assembly at the first sitting after a general election.",0.194048413960537
"156"," provided that the speaker or the deputy speaker shall have the right to be heard by the chamber on his or her own motion on any matter relating to his or her removal from office.","Constituion","Constituion","27","en","Provided that the speaker or the deputy speaker shall have the right to be heard by the chamber on his or her own motion on any matter relating to his or her removal from office.",0.225201160451912
"176"," provided that in the absence of the speaker and every deputy speaker, the members of the national assembly may elect one of their number to act as speaker for as long as there is no speaker or deputy speaker.","Constituion","Constituion","27","en","Provided that in the absence of the speaker and every deputy speaker, the members of the national assembly may elect one of their number to act as speaker for as long as there is no speaker or deputy speaker.",0.197550342371372
"185","5. the speaker, the deputy speaker or any other presiding member shall discharge his or her functions and duties and exercise such powers as he or she has by virtue of that office independent or the direction or interference of any body or authority, save as accords with the express will and the standing orders of the national assembly.","Constituion","Constituion","27","en","5. The speaker, the deputy speaker or any other presiding member shall discharge his or her functions and duties and exercise such powers as he or she has by virtue of that office independent or the direction or interference of any body or authority, save as accords with the express will and the standing orders of the national assembly.",0.198191557771055
"193","6. notwithstanding that the speaker, deputy speaker or any other presiding member has been elected as a member of a political party to the national assembly he or she shall not be subject to the control, discipline, authority or direction of that political party or any other political party in the discharge of the functions and duties of that office and in the exercise of the powers of that office.","Constituion","Constituion","27","en","6. Notwithstanding that the speaker, deputy speaker or any other presiding member has been elected as a member of a political party to the national assembly he or she shall not be subject to the control, discipline, authority or direction of that political party or any other political party in the discharge of the functions and duties of that office and in the exercise of the powers of that office.",0.228763921008146
"34","7. the speaker may, where the matter under debate in the national assembly pertains to his or her constituency, temporarily vacate the speakers seat and participate in that debate and exercise a deliberative vote where there is voting on that matter.","Constituion","Constituion","28","en","7. The speaker may, where the matter under debate in the national assembly pertains to his or her constituency, temporarily vacate the speakers seat and participate in that debate and exercise a deliberative vote where there is voting on that matter.",0.237107048544904
"45","1. subject to section 5 3 7 the speaker shall not have a deliberative vote, but if the votes of the national assembly are equally divided upon any question, he or she shall exercise the casting vote.","Constituion","Constituion","28","en","1. Subject to section 53 7 the speaker shall not have a deliberative vote, but if the votes of the national assembly are equally divided upon any question, he or she shall exercise the casting vote.",0.144311507621046
"53","2. any presiding member shall retain his or her original deliberative vote as a member and shall, in addition, have and exercise a casting vote where the votes of the national assembly on any question are equally divided.","Constituion","Constituion","28","en","2. Any presiding member shall retain his or her original deliberative vote as a member and shall, in addition, have and exercise a casting vote where the votes of the national assembly on any question are equally divided.",0.122973324237067
"67","there shall be a clerk to the national assembly who shall be a public officer and shall assist the speaker of the national assembly and perform such other functions and duties as the speaker may direct.","Constituion","Constituion","28","en","There shall be a clerk to the national assembly who shall be a public officer and shall assist the speaker of the national assembly and perform such other functions and duties as the speaker may direct.",0.251586366362941
"87","5 6. the right to regulate procedure 1. subject to this constitution, the national assembly, may by standing order or otherwise regulate its own procedure.","Constituion","Constituion","28","en","56. The right to regulate procedure 1. Subject to this constitution, the national assembly, may by standing order or otherwise regulate its own procedure.",0.16451610595289
"96","2. save as otherwise provided in this constitution, the national assembly may act unless more than two thirds of all the seats of the national assembly are vacant.","Constituion","Constituion","28","en","2. Save as otherwise provided in this constitution, the national assembly may act unless more than two-thirds of all the seats of the national assembly are vacant.",0.240365984743787
"103","3. the presence or participation of any person not entitled to be present or to participate in the proceedings of the national assembly shall not invalidate those proceedings.","Constituion","Constituion","28","en","3. The presence or participation of any person not entitled to be present or to participate in the proceedings of the national assembly shall not invalidate those proceedings.",0.142513553348786
"116","4. the national assembly shall provide access to the press and members of the public, except where a motion is passed with reasons prohibiting public access in the national interest.","Constituion","Constituion","28","en","4. The national assembly shall provide access to the press and members of the public, except where a motion is passed with reasons prohibiting public access in the national interest.",0.247369996334463
"122","5. the proceedings of parliament shall be conducted in the english language and such other languages as the national assembly may prescribe.","Constituion","Constituion","28","en","5. The proceedings of parliament shall be conducted in the english language and such other languages as the national assembly may prescribe.",0.162571694865493
"144","6. parliament may establish any committees of its members and may form joint committees for the scrutiny of legislation and performance of other functions, except voting on motions and bills.","Constituion","Constituion","28","en","6. Parliament may establish any committees of its members and may form joint committees for the scrutiny of legislation and performance of other functions, except voting on motions and bills.",0.29792753699928
"136","2. notwithstanding subsection 1, parliament shall not have the power to delegate any legislative powers which would substantially and significantly affect the fundamental rights and freedoms recognized by this constitution.","Constituion","Constituion","29","en","2. Notwithstanding subsection 1, parliament shall not have the power to delegate any legislative powers which would substantially and significantly affect the fundamental rights and freedoms recognized by this constitution.",0.218835056306276
"35","2. there shall be held at least two meetings of the national assembly in each session.","Constituion","Constituion","30","en","2. There shall be held at least two meetings of the national assembly in each session.",0.17850588314051
"46","3. a session of the national assembly shall be opened by the president on such date as the president, in consultation with the speaker of the national assembly, shall determine.","Constituion","Constituion","30","en","3. A session of the national assembly shall be opened by the president on such date as the president, in consultation with the speaker of the national assembly, shall determine.",0.227061591939733
"54","4. a session shall be of such duration as the president, in consultation with the speaker of the national assembly, shall determine.","Constituion","Constituion","30","en","4. A session shall be of such duration as the president, in consultation with the speaker of the national assembly, shall determine.",0.203004917759374
"88"," length of legislative sessions 6 0. privileges and immunities legislative committees  immunity of legislators 1. the speaker, every deputy speaker, and every member of the national assembly shall, except in cases of treason, be privileged from arrest while going to, returning from or while in the precincts of the national assembly and shall not, in respect of any utterances that forms part of the proceedings in the national assembly, be amenable to any other action or proceedings in any court, tribunal or body other than parliament.","Constituion","Constituion","30","en","Length of legislative sessions 60. Privileges and immunities legislative committees  immunity of legislators 1. The speaker, every deputy speaker, and every member of the national assembly shall, except in cases of treason, be privileged from arrest while going to, returning from or while in the precincts of the national assembly and shall not, in respect of any utterances that forms part of the proceedings in the national assembly, be amenable to any other action or proceedings in any court, tribunal or body other than parliament.",0.222848763807114
