"","sentences","name","country","page","languages","legible","results"
"16","4 a land owner or occupier to whom the order is given under paragraph 2 may, within thirty 3 0 days after service thereof on him, contest the order in writing to the district agricultural committee giving reasons for non compliance.","Agriculture Rules","12","4","en","4 a land owner or occupier to whom the order is given under paragraph 2 may, within thirty 30 days after service thereof on him, contest the order in writing to the district agricultural committee giving reasons for non-compliance.",0.205038343265073
"3","5 the district agricultural committee may, upon consideration of such contestant either withdraw or vary the order; direct that the order be implemented mutates mutandis. 6 a land owner or occupier who is not satisfied with the decision of the district agricultural committee under this rule may, within thirty 3 0 days after receiving the decision of the district agricultural committee, appeal to the agricultural appeals tribunal.","Agriculture Rules","12","5","en","5 the district agricultural committee may, upon consideration of such contestant either withdraw or vary the order; direct that the order be implemented mutates mutandis. 6 a land owner or occupier who is not satisfied with the decision of the district agricultural committee under this rule may, within thirty 30 days after receiving the decision of the district agricultural committee, appeal to the agricultural appeals tribunal.",0.215027158920173
"41","7 where no appeal is lodged with the agricultural appeals tribunal, the district agricultural committee shall apply to agricultural appeals tribunal to be allowed to plant and maintain the farm forest cover of 1 0 per cent and this shall be a civil debt on the land owner or occupier.","Agriculture Rules","12","5","en","7 where no appeal is lodged with the agricultural appeals tribunal, the district agricultural committee shall apply to agricultural appeals tribunal to be allowed to plant and maintain the farm forest cover of 10 per cent and this shall be a civil debt on the land owner or occupier.",0.230519295817849
"51","8 in the event of change of user of land from agricultural use to any other use, the new user shall maintain a 1 0 per cent farm forest cover.","Agriculture Rules","12","5","en","8 in the event of change of user of land from agricultural use to any other use, the new user shall maintain a 10 per cent farm forest cover.",0.174388862058002
"7","1 every district agricultural committee shall identify land under its area of jurisdiction which is at the risk of land degradation and institute measures necessary for ensuring its conservation including planting of trees.","Agriculture Rules","12","5","en","1 every district agricultural committee shall identify land under its area of jurisdiction which is at the risk of land degradation and institute measures necessary for ensuring its conservation including planting of trees.",0.279529342727324
"8","2 where land is at the risk of degradation, the land owner or occupier shall be required to implement farm forestry measures as outlined in paragraph 1.","Agriculture Rules","12","5","en","2 where land is at the risk of degradation, the land owner or occupier shall be required to implement farm forestry measures as outlined in paragraph 1.",0.222954182887701
"131","1 the district agricultural committees shall prepare and oversee the implementation of annual seedling production plan for provision of appropriate and adequate seedlings to land owners or occupiers in the district.","Agriculture Rules","12","5","en","1 the district agricultural committees shall prepare and oversee the implementation of annual seedling production plan for provision of appropriate and adequate seedlings to land owners or occupiers in the district.",0.228893326174663
"142","2 the district agricultural committee shall monitor the implementation of the plan in paragraph 1 and submit quarterly district reports to central agricultural board and make copies to the relevant line ministries.","Agriculture Rules","12","5","en","2 the district agricultural committee shall monitor the implementation of the plan in paragraph 1 and submit quarterly district reports to central agricultural board and make copies to the relevant line ministries.",0.182455748468266
"151","1 every land owner or occupier shall ensure that harvesting of trees shall be done in such manner as to maintain a 1 0 per cent tree cover at all times, with large scale harvesting requiring a harvesting plan as governed by the provisions of the forest act no. 7 of 200 5.","Agriculture Rules","12","5","en","1 every land owner or occupier shall ensure that harvesting of trees shall be done in such manner as to maintain a 10 per cent tree cover at all times, with large scale harvesting requiring a harvesting plan as governed by the provisions of the forest act no. 7 of 2005.",0.239514056144119
"161","2 the district agricultural committee shall establish mechanisms to facilitate the process of notification and approval for ease of harvesting by land owners or occupiers.","Agriculture Rules","12","5","en","2 the district agricultural committee shall establish mechanisms to facilitate the process of notification and approval for ease of harvesting by land owners or occupiers.",0.279827606376843
"17","3 a person shall not harvest trees from a farm forest without notification and approval as provided for in paragraph 2","Agriculture Rules","12","5","en","3 a person shall not harvest trees from a farm forest without notification and approval as provided for in paragraph 2",0.215653434054687
"18","4 harvesting, processing and movement of farm forest products for commercial purposes shall be governed by the provisions of the forest act no. 7 of 200 5.","Agriculture Rules","12","5","en","4 harvesting, processing and movement of farm forest products for commercial purposes shall be governed by the provisions of the forest act no. 7 of 2005.",0.238672233377243
"23","1 1. farm forestry compensation 1 land owner or occupier who suffers damage to his farm forest trees may seek to be assisted by district agricultural committee in valuation of his damaged trees.","Agriculture Rules","12","6","en","11. Farm forestry compensation 1 land owner or occupier who suffers damage to his farm forest trees may seek to be assisted by district agricultural committee in valuation of his damaged trees.",0.265195947257929
"31","2 the district agricultural committee shall establish procedures for damage assessment.","Agriculture Rules","12","6","en","2 the district agricultural committee shall establish procedures for damage assessment.",0.228526960324989
"42","3 the central agricultural board shall prepare and publish farm tree compensation guidelines for use in assessing compensation rates.","Agriculture Rules","12","6","en","3 the central agricultural board shall prepare and publish farm tree compensation guidelines for use in assessing compensation rates.",0.257143207610153
"52","4 the central agricultural board shall review the farm tree compensation guidelines for use in assessing compensation rates after every five years from the date of its publication.","Agriculture Rules","12","6","en","4 the central agricultural board shall review the farm tree compensation guidelines for use in assessing compensation rates after every five years from the date of its publication.",0.252612114540899
"6","5 where damage occurs due to undertaking of public utility service, the district agricultural committee may upon request carry out damage assessment and forward its report to the requesting party.","Agriculture Rules","12","6","en","5 where damage occurs due to undertaking of public utility service, the district agricultural committee may upon request carry out damage assessment and forward its report to the requesting party.",0.226978121284055
"81","1 every inspector shall keep a register containing copies of farm forest establishment notice and certificate of compliance.","Agriculture Rules","12","6","en","1 every inspector shall keep a register containing copies of farm forest establishment notice and certificate of compliance.",0.150507199697661
"9","2 every district agricultural committee shall keep a register containing copies of farm forest establishment and maintenance notice, certificate of compliance and farm forestry establishment and maintenance order.","Agriculture Rules","12","6","en","2 every district agricultural committee shall keep a register containing copies of farm forest establishment and maintenance notice, certificate of compliance and farm forestry establishment and maintenance order.",0.230560592186121
"10","1 3. general penalty 1 a person who contravenes any of the provisions of these rules commits an offence.","Agriculture Rules","12","6","en","13. General penalty 1 a person who contravenes any of the provisions of these rules commits an offence.",0.139632768687766
"11","2 a person who commits an offence for which no specific penalty has been provided shall be liable upon conviction to a fine of six thousand shillings or imprisonment for six months or both.","Agriculture Rules","12","6","en","2 a person who commits an offence for which no specific penalty has been provided shall be liable upon conviction to a fine of six thousand shillings or imprisonment for six months or both.",0.12078668571723
"143","you are hereby ordered to carry out the following farm forestry activities in the farm described in the schedule to this order.","Agriculture Rules","12","6","en","You are hereby ordered to carry out the following farm forestry activities in the farm described in the schedule to this order.",0.133344321013084
"91","you are hereby prohibited from doing any of the following things in the farm described in the schedule to this order the district agricultural committee makes the following notice to so.  you are hereby ordered to carry out the following farm forestry activities in the farm described in the schedule to this notice you are hereby prohibited from doing any of the following things in the farm described in the schedule to this notice a should you be in doubt as to the provisions of this notice, or the farm affected, you should consult an inspector.","Agriculture Rules","12","7","en","You are hereby prohibited from doing any of the following things in the farm described in the schedule to this order the district agricultural committee makes the following notice to so.  You are hereby ordered to carry out the following farm forestry activities in the farm described in the schedule to this notice you are hereby prohibited from doing any of the following things in the farm described in the schedule to this notice a should you be in doubt as to the provisions of this notice, or the farm affected, you should consult an inspector.",0.16299580605629
"32","you are hereby ordered to carry out the following farm forestry activities in the farm described in the schedule to this order you are hereby prohibited from doing any of the following things in the farm described in the schedule to this order ","Agriculture Rules","12","8","en","You are hereby ordered to carry out the following farm forestry activities in the farm described in the schedule to this order you are hereby prohibited from doing any of the following things in the farm described in the schedule to this order-",0.155288365138426
"82","this is to certify that the following farm forestry activities have been undertaken in the farm described in the schedule as per order no.","Agriculture Rules","12","8","en","This is to certify that the following farm forestry activities have been undertaken in the farm described in the schedule as per order no.",0.132367889910473
"1127","to achieve the objectives set out in this strategy, an effective coordination and monitoring and evaluation framework is important. the wide range of actors that will be involved in the strategy will require a harmonized and coordinated framework to effectively and efficiently manage activities and resources. the framework provides for regular feedback among agencies entrusted with implementing the strategy. an appropriate institutional framework that uses existing ministries and institutions to implement the activities specified in the strategy, and which facilitates the active participation of the private sector, the civil society and communities, is being developed.","Agriculture Sectoral Development Strategy","12","10","en","To achieve the objectives set out in this strategy, an effective coordination and monitoring and evaluation framework is important. The wide range of actors that will be involved in the strategy will require a harmonized and coordinated framework to effectively and efficiently manage activities and resources. The framework provides for regular feedback among agencies entrusted with implementing the strategy. An appropriate institutional framework that uses existing ministries and institutions to implement the activities specified in the strategy, and which facilitates the active participation of the private sector, the civil society and communities, is being developed.",0.286351237902805
"268","the implementation framework will be structured at three levels national, middle and local.","Agriculture Sectoral Development Strategy","12","10","en","The implementation framework will be structured at three levels national, middle and local.",0.178999745943126
"367","at the national level, sector ministries and ascu will organize the biannual national forum of stakeholders. this will ensure political will, give the strategy a niche and prominence, and provide a platform for reviewing progress in implementing the strategy and the extent to which its objectives are being achieved. the forum will discuss problems constraining progress and ways of overcoming them, and consider current and future prospects. to give the forum appropriate profile, the highest political authority in the country will preside over it.","Agriculture Sectoral Development Strategy","12","10","en","At the national level, sector ministries and ascu will organize the biannual national forum of stakeholders. This will ensure political will, give the strategy a niche and prominence, and provide a platform for reviewing progress in implementing the strategy and the extent to which its objectives are being achieved. The forum will discuss problems constraining progress and ways of overcoming them, and consider current and future prospects. To give the forum appropriate profile, the highest political authority in the country will preside over it.",0.256717282549857
"561","the purpose of the middle level institutions is to provide a link between national and local level implementation of asds, technical support and coordination between ministries and stakeholders. in this connection, the following institutions will be strengthened  the inter ministerial coordination committee icc will be expanded to include all ministries that provide services to the agricultural sector. the icc will be composed of permanent secretaries of the collaborating ministries, and will be responsible for coordinating the planning of the strategy at the agricultural sector level and monitoring its implementation to ensure that its goals are achieved.","Agriculture Sectoral Development Strategy","12","10","en","The purpose of the middle-level institutions is to provide a link between national and local level implementation of asds, technical support and coordination between ministries and stakeholders. In this connection, the following institutions will be strengthened  the inter-ministerial coordination committee icc will be expanded to include all ministries that provide services to the agricultural sector. The icc will be composed of permanent secretaries of the collaborating ministries, and will be responsible for coordinating the planning of the strategy at the agricultural sector level and monitoring its implementation to ensure that its goals are achieved.",0.249835311159809
"653"," sector ministries have established a technical committee that acts as the secretariat for the icc. the technical committee consists of directors of sector ministries, private sector representatives, development partners and the ascu","Agriculture Sectoral Development Strategy","12","10","en","Sector ministries have established a technical committee that acts as the secretariat for the icc. The technical committee consists of directors of sector ministries, private sector representatives, development partners and the ascu",0.203952821685459
"1428","and harmonizing sanitary measures with neighbouring countries. appropriate strategies will also be developed for conserving the environment in asals. keeping of camels and other non traditional livestock such as ostrich and wildlife through game ranching and sanctuary management will also be promoted.","Agriculture Sectoral Development Strategy","12","100","en","And harmonizing sanitary measures with neighbouring countries. Appropriate strategies will also be developed for conserving the environment in asals. Keeping of camels and other non-traditional livestock such as ostrich and wildlife through game ranching and sanctuary management will also be promoted.",0.106172164693289
"3111","to increase the area under crops, about 9.2 million ha of irrigation potential that currently lie largely unused in the asals will be exploited. irrigation schemes will be established in various parts of the region, particularly the tana and at hi basins, to increase agricultural production and reduce dependence on rainfed production. the implementation of appropriate strategies will reduce the adverse effects on the environment and on pastoral communities.","Agriculture Sectoral Development Strategy","12","100","en","To increase the area under crops, about 9.2 million ha of irrigation potential that currently lie largely unused in the asals will be exploited. Irrigation schemes will be established in various parts of the region, particularly the tana and at hi basins, to increase agricultural production and reduce dependence on rainfed production. The implementation of appropriate strategies will reduce the adverse effects on the environment and on pastoral communities.",0.207863867710092
"457","rainfed production will be encouraged for emerging high value, drought tolerant crops such as jatropha, melia, indigenous fruits, medicinal species, gum arabic and resins. in addition, research in and adoption of drought tolerant crop varieties such as cotton, sisal, sorghum, millet and pigeon peas will be promoted.","Agriculture Sectoral Development Strategy","12","100","en","Rainfed production will be encouraged for emerging high-value, drought-tolerant crops such as jatropha, melia, indigenous fruits, medicinal species, gum arabic and resins. In addition, research in and adoption of drought-tolerant crop varieties such as cotton, sisal, sorghum, millet and pigeon peas will be promoted.",0.138686316031405
"61","to reduce poverty among communities in asal, diversification of income and employment sources will be promoted. this will include enhancing livestock value adding projects such as processing meat, milk, honey, hides, skins and bone, as well as soap and oil making. commercial tree planting will be encouraged to provide income, medicines, fodder, foliage, biofuels, fruits, juices and jams, dyes, silk and spices.","Agriculture Sectoral Development Strategy","12","100","en","To reduce poverty among communities in asal, diversification of income and employment sources will be promoted. This will include enhancing livestock value adding projects such as processing meat, milk, honey, hides, skins and bone, as well as soap and oil making. Commercial tree planting will be encouraged to provide income, medicines, fodder, foliage, biofuels, fruits, juices and jams, dyes, silk and spices.",0.13789759642837
"744","priority will be given to the establishment of wildlife conservancies and game farming as a land use under local community management.","Agriculture Sectoral Development Strategy","12","100","en","Priority will be given to the establishment of wildlife conservancies and game farming as a land use under local community management.",0.156323475920576
"2211","kenya has seen rapid economic development. however, coupled with rapid population growth this development has exerted cumulative pressure on the environment and natural resources. increased industrial activity and trade have resulted in problems in managing waste and pollution. the importance of the sustainability of the environment and natural resources cannot be underestimated in the countrys economic development plan. the subsector is crucial to achieving sustainable development in the country and, particularly, in achieving mfg 7 ensuring environmental sustainability.","Agriculture Sectoral Development Strategy","12","101","en","Kenya has seen rapid economic development. However, coupled with rapid population growth this development has exerted cumulative pressure on the environment and natural resources. Increased industrial activity and trade have resulted in problems in managing waste and pollution. The importance of the sustainability of the environment and natural resources cannot be underestimated in the countrys economic development plan. The subsector is crucial to achieving sustainable development in the country and, particularly, in achieving MFG 7 ensuring environmental sustainability.",0.291592820843013
"3210","kenyas various habitats and ecosystemsforests, grasslands, wetlands, coral reefs and mangroves are biodiversity hotspots. most of the countrys biodiversity is also found within protected areas, which make up these habitats and ecosystems.","Agriculture Sectoral Development Strategy","12","101","en","Kenyas various habitats and ecosystemsforests, grasslands, wetlands, coral reefs and mangroves are biodiversity hotspots. Most of the countrys biodiversity is also found within protected areas, which make up these habitats and ecosystems.",0.112803567868279
"5110","the country is home to over 650 0 plant species; 26 0 are found nowhere else in the world. with more than 100 0 bird species and over 35 0 mammal species, kenya ranks second highest among african countries in species richness for these animal groups. over time, the country has lost some of her well known biodiversity resources mainly due to population increase, habitat destruction, desertification, over exploitation of species, and conversion through deforestation and drainage of wetlands for agriculture and settlement. .","Agriculture Sectoral Development Strategy","12","101","en","The country is home to over 6500 plant species; 260 are found nowhere else in the world. With more than 1000 bird species and over 350 mammal species, kenya ranks second highest among african countries in species richness for these animal groups. Over time, the country has lost some of her well-known biodiversity resources mainly due to population increase, habitat destruction, desertification, over-exploitation of species, and conversion through deforestation and drainage of wetlands for agriculture and settlement. .",0.0904599324018127
"62","pollution and waste are some of the leading environmental health problems in the country affecting both rural and urban populations. although the quality of air in kenya is not regularly monitored, it is estimated that it is below the who recommended levels.","Agriculture Sectoral Development Strategy","12","101","en","Pollution and waste are some of the leading environmental health problems in the country affecting both rural and urban populations. Although the quality of air in kenya is not regularly monitored, it is estimated that it is below the who recommended levels.",0.198035884996428
"839","agricultural wastes can be in the form of liquids, slurries or solids. the major components of these wastes are biodegradable. however, they also contain components such as nitrogen, human and animal pathogens, medicinals, feed additives, salts, and certain metals that under uncontrolled conditions are harmful to aquatic, plant, animal, or human life. in rural areas, the most common method of disposing of these wastes is by applying them to the land. hazards to humans occur either directly via water or indirectly via crops and animals fed or grazing on the crops. use of these wastes as animal feed can also be a pathway.","Agriculture Sectoral Development Strategy","12","101","en","Agricultural wastes can be in the form of liquids, slurries or solids. The major components of these wastes are biodegradable. However, they also contain components such as nitrogen, human and animal pathogens, medicinals, feed additives, salts, and certain metals that under uncontrolled conditions are harmful to aquatic, plant, animal, or human life. In rural areas, the most common method of disposing of these wastes is by applying them to the land. Hazards to humans occur either directly via water or indirectly via crops and animals fed or grazing on the crops. Use of these wastes as animal feed can also be a pathway.",0.119404819774202
"1620","has been found that sometimes the by products could be more valuable than the main products. while in kenya no major crises have been associated with hazardous materials in agricultural solid wastes, the potential for problems should not be underestimated. discharge of agricultural and industrial chemicals into water bodies or disposing of them on land masses is killing ecosystems. the use of mercury to form amalgam during gold processing around lake victoria is gradually polluting the various rivers flowing into the lake with mercury, as is evidenced by the accumulation of the mineral in fish.","Agriculture Sectoral Development Strategy","12","102","en","Has been found that sometimes the by-products could be more valuable than the main products. While in kenya no major crises have been associated with hazardous materials in agricultural solid wastes, the potential for problems should not be underestimated. Discharge of agricultural and industrial chemicals into water bodies or disposing of them on land masses is killing ecosystems. The use of mercury to form amalgam during gold processing around lake victoria is gradually polluting the various rivers flowing into the lake with mercury, as is evidenced by the accumulation of the mineral in fish.",0.136956349501766
"2312","pesticide use in urban and peri urban production of crops and animals carries serious risks. these households make regular use of highly toxic pesticides not necessarily related to pest type or pest pressure, often near densely populated areas. urban households are also vulnerable to other contaminants. farmers take advantage of the nutrients in urban and peri urban wetlands, sewage disposal areas and dumpsites to plant food crops. these areas contain heavy metals and pathogens, and the air around is generally heavily polluted.","Agriculture Sectoral Development Strategy","12","102","en","Pesticide use in urban and peri-urban production of crops and animals carries serious risks. These households make regular use of highly toxic pesticides not necessarily related to pest type or pest pressure, often near densely populated areas. Urban households are also vulnerable to other contaminants. Farmers take advantage of the nutrients in urban and peri-urban wetlands, sewage disposal areas and dumpsites to plant food crops. These areas contain heavy metals and pathogens, and the air around is generally heavily polluted.",0.150196434663112
"4110","water catchments are being encroached and converted into agricultural land. this has led to reduced water levels in rivers, drying up of seasonal rivers and destruction of fragile ecosystems. vital for carbon sequestration, wetlands are lost every day to agricultural production. the effect of invasive species such as the water hyacinth on water bodies is compounded by limited functional mechanisms for monitoring and regulating the introduction into the country of alien invasive species. .","Agriculture Sectoral Development Strategy","12","102","en","Water catchments are being encroached and converted into agricultural land. This has led to reduced water levels in rivers, drying up of seasonal rivers and destruction of fragile ecosystems. Vital for carbon sequestration, wetlands are lost every day to agricultural production. The effect of invasive species such as the water hyacinth on water bodies is compounded by limited functional mechanisms for monitoring and regulating the introduction into the country of alien invasive species. .",0.239253008394291
"8110","while appreciating the contribution of urban and peri urban agriculture to financial, food and nutritional security particularly for the urban poor, ways should be sought to educate both producers and consumers of the hazards and risks of agricultural waste, without compromising the benefits derived. the inability to capture the unrealized value of by products could be attributed to three factors  lack of information about uses of by products and lack of market opportunities for products made from by products  the dearth of ancillary industries that are able to make use of specific by products. for instance, lactic acid is produced as a by product of the fermenting process in meat packing plants, it has more value being used as a flavouring agent instead of being consumed in other low value uses as in animal feeds  the low level of market development, for instance, straw is mainly used as animal feed in developing countries whereas in some industrialized countries straw is now being processed into an interior building material.","Agriculture Sectoral Development Strategy","12","102","en","While appreciating the contribution of urban and peri-urban agriculture to financial, food and nutritional security particularly for the urban poor, ways should be sought to educate both producers and consumers of the hazards and risks of agricultural waste, without compromising the benefits derived. The inability to capture the unrealized value of by-products could be attributed to three factors  lack of information about uses of by-products and lack of market opportunities for products made from by-products  the dearth of ancillary industries that are able to make use of specific by-products. For instance, lactic acid is produced as a by-product of the fermenting process in meat packing plants, it has more value being used as a flavouring agent instead of being consumed in other low-value uses as in animal feeds  the low level of market development, for instance, straw is mainly used as animal feed in developing countries whereas in some industrialized countries straw is now being processed into an interior building material.",0.277326254078358
"110","the above challenges combined with low capacities and awareness have contributed to destruction of the environment particularly while extracting land based resources and insufficient enforcement of regulations.","Agriculture Sectoral Development Strategy","12","103","en","The above challenges combined with low capacities and awareness have contributed to destruction of the environment particularly while extracting land-based resources and insufficient enforcement of regulations.",0.372233093472854
"63","to address these challenges, the environment subsector will implement the following intervention strategies  improving environmental conservation  improving pollution and waste managementenhancing conservation and management of resources  implement the national climate change response state8 p' st unsustainable use of natural resources leads to environmental degradation. indices of degradation include floods, landslides, droughts and desertification. environmental disasters and their effects are cumulative and long term.","Agriculture Sectoral Development Strategy","12","103","en","To address these challenges, the environment subsector will implement the following intervention strategies  improving environmental conservation  improving pollution and waste managementenhancing conservation and management of resources  implement the national climate change response state8 p' ST unsustainable use of natural resources leads to environmental degradation. Indices of degradation include floods, landslides, droughts and desertification. Environmental disasters and their effects are cumulative and long term.",0.254717597519114
"8210","urban forestry developments, important in fixing carbon emitted from industrial processes and motor vehicles, will be encouraged along highways and recreational parks in all urban centres.","Agriculture Sectoral Development Strategy","12","103","en","Urban forestry developments, important in fixing carbon emitted from industrial processes and motor vehicles, will be encouraged along highways and recreational parks in all urban centres.",0.170042447469539
"1128","with the increasing per capita solid and liquid waste generation in the country, the risks to human health are real and call for the design of appropriate agricultural waste management systems. manpower and financial support shall be provided to obtain more detailed information on how much agricultural waste is produced in the country, the modes of dispersing hazards to humans, animals and crops, and the associated risks.","Agriculture Sectoral Development Strategy","12","103","en","With the increasing per capita solid and liquid waste generation in the country, the risks to human health are real and call for the design of appropriate agricultural waste management systems. Manpower and financial support shall be provided to obtain more detailed information on how much agricultural waste is produced in the country, the modes of dispersing hazards to humans, animals and crops, and the associated risks.",0.285605825598236
"1224","the sector will ensure that information is available on market opportunities for byproducts, encourage the establishment of ancillary industries in areas with agro processing activities, and develop markets for by products of agricultural waste.","Agriculture Sectoral Development Strategy","12","103","en","The sector will ensure that information is available on market opportunities for byproducts, encourage the establishment of ancillary industries in areas with agro-processing activities, and develop markets for by-products of agricultural waste.",0.298088423422433
"1325","air pollution is another contaminant pathway for heavy metals. levels of contamination and the point and non point sources shall be determined in different sites in order to formulate mitigation actions, including policy recommendations.","Agriculture Sectoral Development Strategy","12","103","en","Air pollution is another contaminant pathway for heavy metals. Levels of contamination and the point and non-point sources shall be determined in different sites in order to formulate mitigation actions, including policy recommendations.",0.112397646299698
"111","there are several global programmes on chemical and waste control. kenya is signatory to various international conventions on persistent organic pollutants and is committed to implementing them.","Agriculture Sectoral Development Strategy","12","104","en","There are several global programmes on chemical and waste control. Kenya is signatory to various international conventions on persistent organic pollutants and is committed to implementing them.",0.170597684212273
"4210","over time, the country has lost some of her well known biodiversity resources mainly due to population increase, habitat destruction, desertification, over exploitation of species, and conversion through deforestation and drainage of wetlands for agriculture and settlement. this problem is compounded by limited functional mechanisms for monitoring and regulating the introduction into the country of alien invasive species. the government shall also enforce laws that control movement of vegetative and animal matter in and out of the country.","Agriculture Sectoral Development Strategy","12","104","en","Over time, the country has lost some of her well-known biodiversity resources mainly due to population increase, habitat destruction, desertification, over-exploitation of species, and conversion through deforestation and drainage of wetlands for agriculture and settlement. This problem is compounded by limited functional mechanisms for monitoring and regulating the introduction into the country of alien invasive species. The government shall also enforce laws that control movement of vegetative and animal matter in and out of the country.",0.243345384324861
