index,type,text,relevance
81,Location,kenya,0.978348
82,Quantity,1 0 years,0.958279
82,Organization,sra,0.715976
82,Location,kenya,0.3793
84,Location,kenya,0.978348
86,Organization,ministerial coordination committee,0.978348
87,Organization,kenya national bureau of statistics,0.978348
90,Organization,ministerial coordination committee,0.958279
90,Person,rd romano kiome,0.891579
90,Organization,ministry of agriculture,0.498161
91,Location,kenyas,0.9999
93,Organization,narc government,0.978348
94,Organization,sra,0.9999
95,Quantity,5-year,0.95577
95,Location,kenya,0.561455
95,Organization,government,0.47168
95,Company,vision,0.228917
96,Organization,sra,0.978348
97,Quantity,5 years,0.963296
97,Organization,asds,0.374922
98,Organization,asds,0.963296
98,Location,kenyas,0.908899
99,Quantity,5 years,0.978348
105,Organization,agricultural sector coordination unit,0.958279
105,Organization,ascu,0.908087
105,Organization,forum adequate authority,0.273701
106,Organization,ministerial coordination committee,0.978348
107,Organization,dadcs,0.978348
109,Quantity,5 years,0.978348
110,Quantity,two decades,0.954265
110,Location,kenya,0.548227
110,Location,saharan,0.525657
110,Location,africa,0.298979
110,Organization,government,0.003395
112,Location,tanzania,0.952545
112,Location,uganda,0.91214
112,Location,kenya,0.910628
112,Location,vietnam,0.759696
112,Company,breton woods,0.742494
112,Location,china,0.662766
112,Location,india,0.650922
115,Organization,narc government,0.963296
115,Quantity,2 4 years,0.763005
116,Organization,ers,0.9999
117,Company,kenyas,0.963296
117,Organization,sra,0.137084
118,Organization,sra,0.978348
119,Organization,sra,0.978348
121,Organization,agricultural sector coordination unit,0.963296
121,Organization,ascu,0.932436
122,Organization,narc government,0.953262
122,Organization,kenya meat commission,0.720173
122,Company,kenya seed company,0.650974
122,Company,agricultural finance corporation,0.615884
122,Company,kcc,0.427164
122,Location,kenya,0.327838
123,Quantity,3 tonnes,0.978348
124,Organization,national dairy development policy,0.958279
124,Organization,national agricultural sector,0.853269
124,Quantity,5 years,0.721122
125,Organization,sra,0.978348
126,Organization,ers,0.978348
127,Quantity,5 years,0.963296
127,Organization,ascu,0.329583
128,Organization,government,0.978348
130,Quantity,5-year,0.958279
130,Organization,government,0.392546
130,Location,kenya,0.336625
131,Location,kenya,0.978348
132,Quantity,5-year,0.978348
134,Company,kenyas,0.978348
136,Quantity,5 years,0.963296
136,Organization,sra,0.242509
137,Organization,united nations,0.978348
138,Organization,asds,0.958279
138,Organization,government,0.743691
138,Location,kenya,0.458658
139,Location,kenya,0.978348
140,Location,kenya,0.968313
140,Location,midland,0.305622
140,Location,lowland,0.155154
141,Quantity,milk,0.978348
142,Quantity,75 0 mm,0.963296
142,Quantity,100 0 mm,0.938292
143,Quantity,20 075 0 mm,0.978348
145,Location,kenya,0.978348
149,Quantity,40 0 mm,0.958279
149,Company,farm enterprises,0.736638
149,Organization,government,0.049304
150,GeographicFeature,lake victoria basin,0.963296
150,Location,kenya,0.89769
151,Location,kenya,0.978348
152,Quantity,40 0 mm,0.978348
153,Quantity,milk,0.978348
156,Location,kenya,0.978348
158,Quantity,"53 1,80 0 tonnes",0.958279
158,Quantity,1.1 million tonnes,0.832212
158,Quantity,1.8 million tonnes,0.780305
159,Quantity,5 years,0.978348
161,Quantity,"40 0,00 0 tonnes",0.954265
161,Quantity,"60 0,00 0 tonnes",0.836918
161,Location,nyanza,0.589208
161,Location,kenya,0.494338
161,GeographicFeature,rift valley,0.325513
164,Organization,aggdp,0.978348
167,Quantity,5.1 billion litres,0.954265
167,Location,ayrshire,0.954024
167,Location,guernsey,0.84878
167,Location,jersey,0.597167
167,Quantity,milk,0.551109
168,Quantity,"32 0,00 0 tonnes",0.978348
169,Quantity,"8 4,00 0 tonnes",0.963296
169,Company,chevron,0.305478
170,Location,kenya,0.963296
170,Quantity,2 0 tonnes,0.55322
171,Quantity,"1 2,00 0 tonnes",0.978348
172,Quantity,"1 4,60 0 tonnes",0.958279
172,Quantity,14 0 tonnes,0.86091
172,Location,kenya,0.795458
173,Quantity,700 0 tonnes,0.95577
173,Quantity,20 0 million litres,0.803693
173,Quantity,milk,0.743565
173,Location,kenya,0.655515
174,Location,kenya,0.978348
175,Location,kenya,0.963296
175,GeographicFeature,indian ocean,0.893028
178,Facility,kenyas national forest,0.978348
181,Location,guinea,0.978348
183,Organization,sac cos,0.978348
184,Organization,ministry of cooperative development and marketing provides,0.978348
185,Organization,government,0.9999
186,Organization,ministry,0.978348
187,Organization,kenya agricultural research institute,0.953262
187,Organization,kenya forestry research institute,0.847423
187,Organization,kenya marine and fisheries research institute,0.735353
187,Organization,kenya industrial research and development institute,0.578879
187,Location,kari,0.529274
187,Organization,taramasalata research institutions,0.433341
188,Organization,coffee research foundation,0.953262
188,Organization,tea research foundation of kenya,0.906908
188,Organization,kenya sugar research foundation,0.855447
188,Company,ks,0.401284
188,Location,kenya,0.390685
188,Organization,national irrigation board,0.357023
194,Organization,ngos and civil society,0.978348
196,Organization,agricultural information resource centre,0.978348
200,Location,kenya,0.978348
201,Organization,government,0.978348
202,Quantity,"32 9,44 9 tonnes",0.952545
202,Quantity,"41 0,21 4 tonnes",0.908829
202,Quantity,"1 2,99 8 tonnes",0.775561
202,Quantity,"3 4,68 2 tonnes",0.732056
202,Quantity,121 7 tonnes,0.610833
202,Quantity,477 3 tonnes,0.582965
202,Quantity,700 0 tonnes,0.444227
203,Location,kenya,0.963296
203,Company,ksc,0.883671
203,Location,indonesia,0.319867
203,Location,india,0.290164
204,Quantity,"80 0,00 0 tonnes",0.95577
204,Quantity,100 0 tonnes,0.695774
204,Quantity,"9 0,00 0 tonnes",0.59049
204,Location,kenya,0.398756
205,Quantity,"6 0,00 0 tonnes",0.953262
205,Location,kenya,0.66321
205,Location,europe,0.105524
205,Location,china,0.09681
205,Location,india,0.081155
205,Quantity,milk,0.047994
209,Quantity,2 0 years,0.963296
209,Quantity,3 years,0.420048
210,HealthCondition,anthrax,0.954265
210,HealthCondition,fever,0.773626
210,HealthCondition,mad cow disease,0.698149
210,HealthCondition,influenza,0.607125
210,Location,kenya,0.322573
212,Organization,government,0.978348
215,Organization,government,0.978348
216,Organization,government,0.978348
217,Organization,coast development authority,0.953262
217,Organization,ewaso giro north development authority,0.836836
217,Organization,ewaso giro south development authority,0.688223
217,Organization,keri valley development authority,0.53261
217,Organization,lake basin development authority,0.372011
217,Organization,hi rivers development authority,0.102898
218,Quantity,5 years,0.978348
220,Quantity,two decades,0.958279
220,Location,kenya,0.817146
220,Quantity,5 years,0.123724
221,Location,kenya,0.978348
225,HealthCondition,chronic bovine,0.952007
225,HealthCondition,lumpy skin disease,0.886868
225,HealthCondition,brucellosis,0.520871
225,Company,ppr,0.448618
225,HealthCondition,fever,0.439604
225,HealthCondition,rabies,0.327392
225,HealthCondition,flu,0.06131
225,HealthCondition,tb,0.047097
227,Quantity,5 years,0.978348
234,GeographicFeature,lake victoria,0.963296
234,Location,mombasa,0.64207
235,Person,kenyas,0.958279
235,Location,saharan,0.498986
235,Location,africa,0.276905
236,HealthCondition,malaria,0.958279
236,HealthCondition,hiv,0.899918
236,HealthCondition,aids,0.849515
237,Location,kenya,0.978348
238,Location,kenya,0.978348
240,Location,kenya,0.963296
240,GeographicFeature,indian ocean,0.20423
241,Person,kenyas,0.95577
241,Quantity,25 3-km,0.323842
241,GeographicFeature,lake victoria,0.234267
241,Location,kenya,0.109048
243,Quantity,milk,0.978348
244,Location,kenyas,0.963296
244,Location,kenya,0.829113
245,Organization,agricultural sectors vision,0.978348
246,Quantity,5 years,0.978348
251,Location,kenya,0.978348
259,Company,farmer apex,0.978348
261,Organization,kenya plant health inspectorate service,0.95577
261,Organization,pesticides control products board,0.896788
261,Organization,national environment management authority,0.833668
261,Organization,kenya bureau of standards kbs,0.758032
264,Company,kenyas,0.978348
266,Organization,world trade organization,0.958279
266,Location,kenya,0.810494
266,Location,kenyas,0.674049
268,Organization,sac cos,0.978348
270,Location,kenya,0.978348
281,HealthCondition,malaria,0.963296
281,HealthCondition,aids,0.860537
282,Quantity,32 7 million tonnes,0.954265
282,Quantity,20 9 million tonnes,0.780684
282,Quantity,64 8 million tonnes,0.450186
282,Quantity,42 2 million tonnes,0.265383
282,Quantity,milk,0.242753
288,Quantity,5 litres,0.958279
288,Quantity,12 0 kg,0.871903
288,Quantity,milk,0.407228
289,Organization,government,0.978348
290,Organization,livestock recording centre,0.958279
290,Organization,kenya national artificial insemination service,0.762224
290,Location,kenya,0.508551
299,Location,kenya,0.978348
300,Location,kenya,0.978348
301,HealthCondition,pneumonia,0.953262
301,HealthCondition,brucellosis,0.779871
301,HealthCondition,tuberculosis,0.684076
301,Quantity,milk,0.548911
301,Location,kenya,0.48441
301,HealthCondition,influenza,0.291979
308,Person,bush,0.978348
314,Quantity,milk,0.978348
315,Organization,department of veterinary services,0.956845
315,Organization,ministry of public health & sanitation,0.702866
315,Organization,kenya veterinary board,0.612952
315,Organization,kenya bureau of standards,0.604415
315,Organization,ministry of fisheries development,0.403794
315,Organization,ministry of livestock development,0.380075
315,Organization,ministry of health,0.333491
323,Location,kenya,0.963296
323,Quantity,milk,0.720932
331,Quantity,"15 8,67 0 tonnes",0.978348
333,Quantity,750 0 tonnes,0.958279
333,Location,kenya,0.619645
333,GeographicFeature,indian ocean,0.291876
335,Location,kenya,0.978348
336,Location,kenya,0.968313
336,Location,lamu,0.630116
336,Location,somalia,0.090208
337,Organization,fisheries coast guard,0.963296
337,Organization,government,0.385551
338,Facility,tana river dams,0.963296
338,Location,turkana,0.747745
339,GeographicFeature,lake victoria,0.958279
339,Location,turkana,0.573313
339,Quantity,"3 0,00 0 tonnes",0.180394
341,Quantity,100 0 tonnes,0.978348
342,Quantity,100 0 tonnes,0.963296
342,Quantity,"1 5,00 0 tonnes",0.908669
344,Location,kenya,0.978348
345,Company,ea,0.978348
349,Organization,kenya planters cooperative union,0.958279
349,Organization,cooperative alliance of kenya formerly,0.88665
349,Organization,kenya national federation of cooperatives,0.81016
357,Organization,sacco regulatory authority,0.963296
357,Organization,government,0.70246
367,Quantity,milk,0.963296
367,Company,vision,0.689478
369,Organization,government,0.978348
371,Organization,governmental authority,0.953262
371,Organization,development igad,0.924519
371,Location,kenya,0.798991
371,Organization,east african community,0.73082
371,Organization,eu,0.630596
371,Location,africa,0.330795
373,Location,kenya,0.954265
373,Location,northern kenya,0.829369
373,Location,ethiopia,0.54555
373,Location,sudan,0.517377
373,Location,somalia,0.510039
374,Organization,export processing zone authority,0.978348
375,Organization,kenya private sector alliance,0.978348
376,Organization,kenya national federation of agricultural producers  coordinates,0.95577
376,Organization,kenya national federation of cooperatives coordinates commercial agricultural services,0.59889
376,Organization,agricultural sector board of kepsa,0.331716
376,Location,kenya,0.321806
378,Organization,national economic and social council,0.958279
378,Organization,national business agenda,0.898487
378,Location,kenya,0.28045
381,Location,kenya,0.978348
383,Location,maputo,0.978348
385,Quantity,3 months,0.9999
388,GeographicFeature,mt kenya,0.958279
388,GeographicFeature,mt elgon,0.952229
388,GeographicFeature,tanganyika hills,0.943713
393,Organization,government,0.978348
394,Location,kenya,0.963296
394,Location,kano,0.090963
395,Quantity,9 0 days,0.978348
396,GeographicFeature,lake baring,0.978348
397,Organization,national water resources management,0.963296
397,Organization,irma,0.427914
398,Quantity,10 0 km,0.95577
398,Quantity,1-km,0.649704
398,GeographicFeature,kathie river,0.426661
398,Facility,mun dams,0.279076
399,Location,busia,0.953262
399,Location,bungoma,0.92623
399,Location,butere,0.896914
399,Location,kakamega,0.865178
399,Location,mumias,0.832691
399,Location,thika,0.740159
400,Location,kenya,0.978348
411,Quantity,2 0 years,0.978348
412,Organization,government,0.978348
414,Person,kenyas,0.978348
416,Organization,asals,0.963296
416,Location,kenya,0.215572
417,Location,kenya,0.978348
420,Location,kenya,0.978348
421,Organization,government,0.978348
426,Location,asal,0.963296
426,Quantity,milk,0.243383
428,Location,kenya,0.978348
430,Location,kenya,0.978348
431,Location,kenya,0.978348
433,Location,kenya,0.963296
433,GeographicFeature,lake victoria,0.48589
436,Organization,urban and peri,0.978348
443,Location,kenya,0.978348
447,GeographicFeature,lake natasha,0.958279
447,Quantity,40 0-km,0.741072
447,GeographicFeature,lake nakuru,0.62673
451,Organization,government,0.968313
451,Organization,rda,0.694663
451,Location,kenya,0.645869
455,Location,kenya,0.978348
457,Location,kenyas,0.978348
459,GeographicFeature,the river basins,0.952545
459,Location,sondu,0.537995
459,Location,yala,0.329438
459,GeographicFeature,lake calla,0.320078
459,GeographicFeature,lake victoria,0.218511
459,GeographicFeature,indian ocean,0.203938
459,Location,turkana,0.173774
461,GeographicFeature,the river basins,0.978348
463,Location,kenyas,0.963296
463,Company,natural resources,0.207068
465,Location,kenya,0.978348
466,Location,kenya,0.978348
472,Location,kenyas,0.978348
473,Organization,sra,0.978348
474,Location,kenya,0.978348
475,Organization,asds,0.978348
480,Organization,united nations,0.978348
480,Organization,mdgs,0.906011
483,Organization,kenya wildlife service,0.978348
487,Facility,mt elgon,0.978348
490,Location,kenya,0.978348
491,Organization,central government,0.978348
492,Organization,government,0.963296
492,Organization,central government,0.731001
493,Person,kenyas,0.963296
493,Organization,government,0.006568
494,Location,kenya,0.978348
495,Location,kenya,0.963296
495,Company,vision,0.711462
496,Organization,government,0.978348
498,Location,kenya,0.963296
498,Company,sch solutions,0.815872
499,Organization,national agricultural heritage,0.978348
500,Organization,government,0.978348
502,Organization,rural electrification authority,0.978348
504,HealthCondition,malaria,0.958279
504,HealthCondition,hiv,0.714869
504,HealthCondition,aids,0.485377
505,Quantity,1 53 9 years,0.958279
505,HealthCondition,aids,0.296306
505,HealthCondition,hiv,0.254162
506,HealthCondition,malaria,0.958279
506,HealthCondition,hiv,0.888159
506,HealthCondition,aids,0.844092
508,HealthCondition,hiv,0.958279
508,HealthCondition,aids,0.89931
508,Organization,government,0.558478
515,HealthCondition,malaria,0.95577
515,HealthCondition,hiv,0.845903
515,HealthCondition,aids,0.804054
515,Organization,government,0.274367
517,Organization,ministry of youth and sports,0.958279
517,Organization,youth enterprise development fund,0.48552
517,Organization,constituency development fund,0.348411
520,Organization,government,0.978348
524,Organization,government,0.978348
525,Organization,district agricultural development,0.978348
528,Organization,kenya forest service,0.993399
528,Location,kenya,0.170855
532,Organization,establishment of licensing committee,0.963296
532,Organization,forest conservation committee,0.694545
533,Organization,forest conservation committee,0.978348
536,Organization,local environment committee,0.978348
538,Organization,national environment tribunal,0.963296
538,Quantity,thirty days,0.919858
543,Quantity,one month,0.978348
545,Quantity,fourteen days,0.978348
560,PrintMedia,the gazette,0.978348
561,Location,kenya,0.978348
567,Location,kenya,0.978348
574,Quantity,three months,0.978348
576,Quantity,one year,0.978348
577,Quantity,fourteen days,0.978348
587,Organization,community land management committee,0.978348
588,Organization,national county administrators and county government,0.978348
590,Organization,community land management committee,0.978348
591,Organization,community land management committee,0.978348
596,Quantity,sixty days,0.978348
605,PrintMedia,gazette,0.978348
611,Organization,"group of persons, clan",0.963296
611,Location,kenya,0.390787
617,Organization,community assembly,0.978348
618,Organization,community assembly,0.978348
618,Organization,community land management committee,0.115672
619,Organization,community land management committee,0.978348
620,Organization,community assembly,0.978348
639,Organization,assembly,0.978348
643,Organization,assembly,0.978348
646,PrintMedia,the gazette,0.978348
649,PrintMedia,commission shall gazette,0.978348
650,Person,li,0.978348
659,Facility,waterpump,0.978348
660,Quantity,six months,0.978348
677,Company,andon,0.978348
680,Organization,community assembly,0.978348
700,Quantity,three years,0.978348
704,Person,andsubject,0.978348
707,Organization,cabinet,0.963296
707,Quantity,three years,0.142669
708,Organization,cabinet,0.9999
709,Company,demarcation,0.963296
709,Organization,national government,0.058282
717,Organization,cabinet,0.978348
718,Organization,cabinet,0.978348
727,Organization,cabinet,0.963296
727,Organization,au,0.896091
730,Quantity,2 g,0.978348
735,Organization,cabinet,0.963296
735,Location,kenya,0.114949
740,Person,landsuch,0.978348
748,Organization,national police service,0.993399
748,Organization,national police service commission,0.150336
752,Quantity,fifteen years,0.993399
752,Organization,supreme court,0.607108
753,Quantity,ten years,0.978348
754,Quantity,ten years,0.978348
755,Quantity,seventy years,0.963296
755,Quantity,sixty-five years,0.236877
756,Quantity,ten years,0.978348
757,Organization,supreme court,0.9999
759,Organization,service commission,0.963296
759,Organization,judicial service commission,0.181493
760,Organization,judicial service commission,0.978348
761,Organization,judicial service commission,0.978348
762,Quantity,fifteen years,0.958279
762,Person,orin,0.927011
762,Organization,ofa,0.758958
762,Organization,judicial service commission,0.634137
762,Quantity,three years,0.169611
762,Person,iii,0.086397
765,Organization,supreme court,0.963296
765,Quantity,ten days,0.892654
768,Organization,parliament,0.978348
770,Person,kaddish,0.978348
771,Organization,judicial service commission,0.978348
772,Organization,parliament,0.978348
773,Person,kaddish,0.963296
773,Location,kenya,0.012951
775,Organization,supreme court,0.956845
775,Organization,association of judges and magistrates,0.857338
775,Organization,court of appeal,0.602606
775,Quantity,fifteen years,0.369031
775,Organization,andone,0.347449
775,Organization,public service commission,0.229868
775,Organization,national assembly,0.01386
776,Quantity,five years,0.9999
777,Organization,national government,0.978348
780,Organization,national assembly for approval,0.978348
781,Organization,national assembly,0.978348
782,Location,kenya,0.9999
786,Organization,county assembly,0.958279
786,Organization,parliament,0.309456
786,Organization,assembly,0.162573
789,Organization,county assembly,0.963296
789,Organization,assembly,0.037428
790,Organization,assembly,0.9999
793,Organization,assembly,0.9999
798,Organization,parliament,0.978348
799,Organization,county assembly,0.978348
808,Location,kenya,0.978348
809,Organization,county assembly,0.958279
809,Quantity,twelve months,0.169636
809,Person,oris,0.168202
810,Organization,office of county governor,0.978348
813,Organization,office of county,0.963296
813,Quantity,sixty days,0.398316
815,Organization,county administration,0.978348
816,Organization,county assembly,0.978348
820,Organization,legislative authority,0.978348
824,Organization,national government,0.978348
830,Organization,national assembly,0.958279
830,Organization,assembly,0.436006
830,Organization,senate,0.361269
832,Organization,government,0.978348
837,Organization,national government,0.978348
839,Organization,national government,0.963296
839,Organization,senate,0.186551
845,Organization,commission of inquiry,0.963296
845,Organization,senate,0.089756
846,Organization,parliament,0.978348
847,Quantity,ninety days,0.978348
852,Organization,assembly,0.9999
854,Organization,county assembly,0.978348
856,Organization,assembly,0.978348
859,Organization,any county assembly,0.978348
861,PrintMedia,the gazette,0.978348
863,Location,kenya,0.978348
871,Organization,national government,0.978348
876,Organization,national government,0.978348
877,Organization,national assembly,0.978348
878,Organization,national government,0.963296
878,Organization,national assembly,0.089449
879,Organization,national government,0.978348
880,Organization,national government,0.963296
880,Organization,parliament,0.377539
881,Organization,commission on revenue allocation,0.978348
883,Quantity,twenty years,0.978348
884,Organization,parliament,0.978348
885,Organization,national assembly,0.963296
885,Organization,senate,0.051704
887,Organization,commission on revenue allocation,0.958279
887,Organization,national assembly,0.137623
887,Organization,senate,0.016353
889,Organization,national government,0.978348
891,Organization,parliament,0.978348
893,Organization,revenue fund,0.963296
893,Organization,oras,0.378941
897,Organization,cabinet,0.978348
898,Organization,parliament,0.978348
904,Organization,house of parliament,0.963296
904,Quantity,seven days,0.788212
905,Organization,national government,0.978348
906,Quantity,two months,0.963296
906,Organization,national government,0.782849
907,Organization,parliament,0.978348
908,Organization,national government,0.978348
909,Organization,national assembly,0.968313
909,Organization,senate,0.285878
909,Organization,assembly,0.282425
913,Organization,national assembly,0.963296
913,Organization,senate,0.860985
914,Quantity,five years,0.963296
914,Organization,senate,0.891837
915,Organization,commission on revenue allocation,0.963296
915,Organization,cabinet,0.34809
916,Organization,senate,0.968313
916,Quantity,ten days,0.950743
916,Organization,national assembly,0.089345
917,Quantity,sixty days,0.963296
917,Organization,national assembly,0.581664
918,Organization,national assembly,0.963296
918,Organization,senate,0.599867
919,Organization,senate,0.978348
922,Organization,commission on revenue allocations,0.978348
923,Location,kenya,0.9999
924,Location,kenya,0.978348
925,Location,kenya,0.978348
926,Location,kenya,0.9999
929,Organization,national government,0.978348
931,Organization,national government,0.978348
932,Quantity,two months,0.95577
932,Organization,cabinet,0.763771
932,Organization,national assembly,0.762929
932,Organization,national government,0.439406
934,Organization,parliamentary service commission,0.978348
935,Organization,national assembly,0.963296
935,Organization,assembly,0.442965
936,Organization,national assembly,0.978348
937,Organization,national assembly,0.9999
939,Organization,national assembly,0.978348
941,Company,ormoney,0.978348
942,Organization,parliament,0.963296
942,Quantity,two months,0.5884
943,Quantity,two weeks,0.978348
944,Organization,national assembly,0.978348
945,Organization,national government,0.963296
945,Organization,parliament,0.586771
947,Organization,national treasury,0.978348
951,Quantity,thirty days,0.978348
952,Organization,parliament,0.963296
952,Quantity,sixty days,0.304669
953,Organization,relevant parliamentary committee,0.978348
955,Organization,national assembly for its financial management,0.963296
955,Organization,county assembly,0.31972
957,Organization,national assembly,0.978348
961,Organization,national assembly,0.978348
962,Quantity,ten years,0.978348
963,Quantity,eight years,0.978348
966,Quantity,four months,0.978348
967,Organization,national assembly,0.978348
968,Quantity,ten years,0.978348
969,Quantity,eight years,0.978348
970,Quantity,six months,0.958279
970,Organization,national assembly,0.525699
970,Organization,senate,0.357658
973,Organization,county assembly,0.963296
973,Quantity,three months,0.773298
974,Organization,cabinet,0.978348
976,Company,central bank of kenya,0.978348
977,Company,central bank of kenya,0.978348
978,Company,central bank of kenya,0.963296
978,Location,kenya,0.479162
979,Company,central bank of kenya,0.978348
981,Organization,public service commission,0.963296
981,Organization,national assembly,0.075294
983,Organization,parliament,0.970822
983,Organization,asa,0.782326
983,Quantity,five years,0.691966
983,Person,oris,0.554372
985,Quantity,five years,0.978348
988,Organization,parliament,0.978348
989,Organization,national government,0.978348
995,Organization,commission for service,0.978348
996,Organization,national government,0.978348
999,Organization,national security organs and security system,0.978348
1005,Location,kenya,0.978348
1006,Organization,national assembly,0.978348
1006,Location,kenya,0.411119
1007,Location,kenya,0.978348
1008,Organization,national police service,0.978348
1008,Location,kenya,0.010571
1009,Organization,national police service,0.978348
1010,Organization,kenya police service,0.958279
1010,Organization,administration police service,0.841629
1010,Organization,national police service commission,0.115332
1011,Organization,national police service,0.978348
1011,Organization,cabinet,0.585868
1012,Organization,cabinet,0.978348
1013,Quantity,four year,0.978348
1014,Organization,national police service,0.978348
1015,Organization,national police service,0.963296
1015,Location,kenya,0.023502
1016,Organization,national police service,0.963296
1016,Organization,parliament,0.920838
1020,Organization,parliament,0.963296
1020,Organization,independent office,0.551493
1022,Organization,foundation of the nation,0.978348
1023,Location,kenya,0.978348
1025,Organization,national assembly,0.978348
1027,Location,kenya,0.978348
1033,Organization,national assembly,0.978348
1034,Organization,national assembly,0.978348
1035,Person,andone,0.978348
1036,Quantity,thirty days,0.978348
1039,Organization,institute court,0.978348
1042,Organization,senate,0.978348
1046,Organization,house of parliament,0.978348
1047,Organization,parliament,0.978348
1049,Quantity,thirty days,0.978348
1050,Organization,electoral and boundaries commission,0.95577
1050,Organization,independent electoral and boundaries commission,0.581054
1050,Quantity,ninety days,0.564796
1050,Quantity,thirty days,0.411816
1054,Organization,independent electoral and boundaries commission,0.958279
1054,Organization,county assembly,0.340557
1054,Quantity,three months,0.087006
1055,Organization,county assembly,0.993399
1055,Quantity,three months,0.251148
1057,Organization,parliament,0.978348
1059,Organization,house of parliament,0.978348
1066,Quantity,six days,0.978348
1074,Location,kenya,0.978348
1075,Location,kenya,0.978348
1076,Location,kenya,0.978348
1077,Location,kenya,0.963296
1077,Quantity,eight years,0.754563
1079,Quantity,seven years,0.978348
1080,Location,kenya,0.963296
1080,Quantity,seven years,0.768402
1082,Quantity,eighteen years,0.963296
1082,Quantity,thirty-five years,0.378255
1084,Organization,national assembly,0.978348
1084,Quantity,one year,0.014085
1085,Organization,national assembly,0.978348
1086,Organization,commission for the implementation of the constitution,0.978348
1092,Quantity,fourteen days,0.963296
1092,PrintMedia,gazette,0.584885
1095,Person,ee mung nguyen yetigod,0.978348
1099,Location,kenya,0.953262
1099,Person,orhas,0.884974
1099,Quantity,five years,0.586447
1099,Person,whicha,0.556641
1099,Quantity,three years,0.41704
1099,Quantity,seven years,0.192939
1100,Organization,cabinet,0.9999
1116,Quantity,10 0 five years,0.950015
1116,Quantity,10 3 one year,0.897356
1116,Quantity,10 4 two years,0.865677
1116,Quantity,11 9 two years,0.766443
1116,Quantity,13 3 one year,0.732465
1116,Quantity,14 1 two years,0.679628
1116,Quantity,16 2 one year,0.64144
1116,Organization,parliament,0.641212
1116,Quantity,16 8 one year,0.599633
1116,Quantity,17 3 two years,0.561197
1116,Quantity,2 3 one year,0.484233
1116,Quantity,17 8 one year,0.427551
1116,Quantity,18 3 one year,0.374987
1116,Quantity,19 0 three years,0.308505
1116,Quantity,18 1 1 8 months,0.239947
1116,Organization,county assembly,0.175375
1116,Quantity,19 4 1 8 months,0.141911
1117,Quantity,22 5 two years,0.951589
1117,Quantity,22 6 four years,0.886494
1117,Quantity,22 7 four years,0.814164
1117,Quantity,23 2 four years,0.739018
1117,Quantity,23 9 two years,0.6792
1117,Organization,national police service,0.635005
1117,Quantity,24 5 two years,0.598728
1117,Organization,electoral commission,0.268587
1117,Quantity,five years,0.205476
1118,Organization,national assembly,0.963296
1118,Organization,senate,0.691698
1121,Organization,national land commission,0.978348
1124,Organization,national police service,0.978348
1125,Quantity,eight years,0.963296
1125,Location,kenya,0.16595
1126,Location,kenya,0.978348
1130,Organization,andany,0.963296
1130,Organization,commission on the implementation of the constitution and relevant parliamentary committees,0.680679
1131,Organization,commission for the implementation of the constitution,0.978348
1132,Organization,committee of experts,0.963296
1132,Location,kenya,0.161109
