label,sentences,class
12,"the strategic thrust of increasing the productivity, commercialization and competitiveness of agricultural commodities will enable the sector to export more outputs, earn the country foreign exchange, and create employment. with the responsibilities of the agricultural sector currently spread across 1 0 ministries and the need for partnerships with several other ministries and stakeholders, implementation of asds will require strong partnerships among the government, private sector, development partners and other non state actors. a sector wide approach and strong coordination mechanisms will be instrumental in the success of the strategy.",1.0
13,"currently, the responsibilities for agricultural development are spread across the sector ministries. other ministries responsible for roads, local authorities, administration, health, education, trade and industry, and finance support the functions of the agricultural sector ministries. key stakeholders will implement the agriculture sector development strategy asds in a sector wide approach in which sector ministries, the private sector and development partners will each have distinct roles to play coordinated by the the asds will be implemented through the established structure of government ministries that go to the district, division and location level. each sector ministry will work out the activities under its dockets and make elaborate financing plans in the medium term plans, which will be funded by the government of kenya, development partners and the private sector. implementation will be carried out through the medium term expenditure framework tefl of financial allocation by treasury. the expenditure frameworks and the medium term plans will be harmonized with the respective development documents currently being implemented by the planning and finance ministries to align them with vision 203 0 and other government development plans.",3.0
14,"the government also established and supported many agricultural institutions such as farmer cooperatives and those for agricultural inputs, marketing, credit and agroprocessing. budgetary allocation to the agricultural sector during this period was at an average of 1 3 per cent of the national budget.",3.0
15,"reviving agricultural institutions. one of the pledges of the narc government was to revive all public institutions that provide services to citizens. within the agricultural sector, this has been a success story. institutions that were on the verge of collapse and have since been revived are the kenya meat commission, the kenya cooperative creameries kcc, the kenya seed company, the agricultural finance corporation, and the agricultural development corporation. institutions that were considered moribund and dysfunctional, such as research and extension services with their subcentres, training centres and tractor hire are now vibrant and providing services to farmers. even institutions that were running into losses, such as the sugar factories, have been revived, are reporting profits and are on the verge of being privatized.",1.0
16,the ascu mandate is to facilitate and add value to the reform process and to coordinate the efforts of sector ministries and other stakeholders towards implementing the asds vision.,1.0
17,"ascu will link the sector players and provide an enabling environment for sector wide consultations along the various levels of implementation, from the division to district to national level. ascu will not be involved in the actual implementation of the strategy. however, it shall coordinate budgeting within the sector, and participate in the review of subsector strategic and annual work plans to ensure they conform to asds, vision 203 0, the megs and other government development agenda.drive reforms in the sector and fast track implementation of the asds in a coordinated manner across sector ministries and other partners  be the referral centre for reforms, and collect, analyse and disseminate information on agricultural reforms   influence sector resource allocation to areas of highest impact  initiate major studies and policy developments within the agricultural sector  be accent for capacity building for all stakeholders involved or affected by the agricultural reform process * monitor implementation of asds activities.",1.0
18,"medium scale farms range from 3 to 4 9 ha. farmers in this category are receptive to technology and practise commercial agriculture by investing in inputs, marketing produce and borrowing credit for farm development.",3.0
19,"the cooperative movement has played an important role in agricultural development and in the economy. agricultural cooperatives have helped in procurement of inputs, production, value addition and marketing. in the financial sector the cooperative movement through savings and credit cooperatives sac cos has helped mobilize savings and provide credit to producers.",3.0
20,"to contribute significantly to the development and growth of the agricultural sector, the role of the private sector in providing physical and social infrastructure, production, processing, input and output marketing, imports and exports, providing financial services and goods and services will need to be clearly defined. to facilitate effective participation, appropriate reforms in the legal and regulatory framework shall be instituted.",3.0
21,"bilateral and multilateral donors have for many years financed kenyas agricultural budget. with the countrys increased financial capacity, the role of development partners has been reduced and governments own resources are now financing over 9 0 per cent of the agricultural budget. however, development partners continue to play an important role, particularly in spearheading new initiatives and carrying out pilot projects.",1.0
22,"access to bank credit by farmers is still a major challenge despite the fact that kenya has a relatively well developed banking system. risks associated with agribusiness coupled with complicated land laws and tenure systems that limit the use of land as collateral make financing agriculture unattractive to the formal banking industry. in addition, corruption, political interference in the operations particularly of state owned banks, and a dysfunctional court system in the past, gave rise to a culture of defaulting that led to high numbers of non performing loans. this development forced many banks to charge their customers, who included farmers, prohibitively high interest rates to remain afloat. limited competition in the banking industry despite the large number of banks, also ensures interest rates remain high. the cost of bank credit and the limited number of banks in rural areas are some of the factors that make it difficult for farmers to access bank credit.",2.0
23,"after independence, the government set up the agricultural finance corporation to provide long term credit to individuals and groups to purchase farms and to finance farm improvement, as well as seasonal credit for production. by providing suppliers with credit, cooperative societies also supported farmers. these organizations have been mismanaged and run down and are no longer important sources of finance for agriculture. indeed, a large number almost collapsed. today, farmers get credit mainly from cooperatives, ngos and community based lending institutions.",2.0
24,"inadequate budgetary allocation. insufficient budgetary allocation to the agricultural sector is a key constraint. in 200 3 under the maputo declaration, african heads of state committed to allocate 1 0 per cent of their annual budgets to the agricultural sector. kenya has not yet achieved this target; by 200 8, the sector was receiving 4.5 per cent of the budget. this insufficient allocation has reduced human resources and service delivery by government institutions. reduced effectiveness of extension services. the effectiveness of extension services declined over the last two decades due to use of inappropriate methods and a sharp reduction in operational budgets and human resources in the sector ministries. in particular, livestock extension in asals has been underfinanced. while much has been achieved in the last 5 years, inadequate financial and human resources continue to constrain the sector.",2.0
25,"are hard pressed to finance inputs and capital investment. a number of microfinance institutions are operating but they tend to increase the cost of credit, reach only a small proportion of smallholder farmers, and provide only short term credit. the formal banking system is just beginning to develop credit facilities particularly suited to smallscale farming.",2.0
26," enhancing farmer access to affordable inputs and creditenhancing institutional efficiency and effectiveness in implementation and service delivery the current policy environment is not supportive of private sector led agricultural development. multiple and complex laws and regulations have evolved in the agricultural sector, which do not allow for investment in a liberalized economic environment. appropriate policies should provide for the changed role of government as a facilitator and regulator of agricultural activities.",2.0
27,"the subsector will emphasize collecting, collating and disseminating information on domestic and international markets. the information will be disseminated to producers, exporters and service providers. global information networks will be developed through subscriptions to trade information systems and close collaboration with kenyas diplomatic service. to support an effective marketing strategy, the agriculture subsector will collaborate with other stakeholders in the public sector to facilitate private sector involvement in the development of marketing infrastructure, especially rural market facilities. farmer organizations will be supported and empowered to play their role in providing market support services.",1.0
28,"kenya is a member of the world trade organization. this multilateral trade system aims to expand markets through liberalizing global trade. the agriculture sector will be a key player in multilateral and bilateral trade negotiations with the objectives of expanding and diversifying agricultural products and markets. regional markets, especially the  block, are now the major destination for kenyas exports. the subsector will collaborate with other relevant sectors and subsectors to promote economic cooperation and regional integration as a strategy for expanding local markets.",3.0
29,"appropriate credit packages for small scale producers will be developed to facilitate access to key inputs. the subsector will enhance value addition technologies through building capacity of stakeholders, and providing material and financial support. these strategies are aimed at shifting the sector from subsistence agriculture to farming as a business.",3.0
30,"producers. in collaboration with other stakeholders, the subsector will also support mobilization of financial resources through sac cos and other community based lending organizations to accelerate agricultural development.",3.0
31,"the countrys agricultural resource base will be increased and improved through developing diversified, demand driven crop varieties; intensively applying appropriate technologies; and expanding use of irrigation systems in agricultural production. to achieve this research extension links will be strengthened to ensure demand driven research and effective application of research technologies on the farm. in addition, the private sector will be encouraged and supported to invest in agricultural production at all levels of the supply chain from farming, research and extension to processing and marketing. strengthening extension services and creating strong links between research and extension are two of the subsectors overriding objectives. effective adoption of technology packages will require a participatory approach to extension. the sector will strengthen its extension service delivery system and encourage private sector participation in the delivery of extension services, and will, in particular, empower farmer organizations and communities to provide these services at the grassroots.",1.0
32,"the sector will also improve and strengthen support services to include access to appropriate and affordable credit, to production and market related information and to appropriate technologies, and improve its institutions such as agricultural training colleges, rural training development centres and agricultural training centres. the sector will work with the private sector and other agricultural sector ministries and agencies to make these support services available to farmers and service providers.",3.0
33,developing and operationalizing internal data management within the subsector and among the agricultural sector ministries and agencies will enhance efficiency in service delivery.,1.0
34,"to increase agricultural productivity and improve farming as a business, farmers need access to inputs and credit. appropriate credit packages suitable for small scale producers will be made available to enable producers access key inputs such as fertilizer, agrochemicals and seed. farmers need capital investment for irrigation infrastructure, value addition technologies and general farm development, and to comply with food safety regulations.",3.0
35,"reduce costs, promote local fertilizer blending and initiate the establishment of a national or regional manufacturing plant. to ensure the bulk fertilizer purchase programme is successfully implemented, the government will facilitate capacity building for farmers and enhance capacity of farmer institutions to purchase and distribute fertilizer efficiently.",3.0
36,"this strategy will explore avenues for revitalizing livestock extension services in kenya. in particular, more resources will be committed to increase staffing levels towards the ratio of 1 livestock extension officer to 50 0 farmers in high potential areas, and 1 to 15 0 farmers in low potential areas to improve service delivery.",1.0
37,"to improve access to markets, capacity building in the market value chain will be undertaken and infrastructure developed. in particular, organizing livestock producers into marketing groups, developing markets and supporting infrastructure including a livestock marketing information system will be addressed.",1.0
38,with international standards. international and regional markets are more lucrative than local markets and accessing them will increase returns.,1.0
39,"an essential component of the asds is to enhance the capacity of the private and public sectors in agriculture through supporting innovative private sector activities or public private partnerships that promote market driven production, processing and marketing initiatives. this support will be actualized through the establishment of an innovation fund for agriculture and agribusiness ifaa. the objective of the fund will be to foster ass central objective of commercializing agriculture by catalyzing private sector participation in market oriented production and service delivery, promoting productivity and profitability or commercial viability of sector activities at all levels of the wider agricultural sector value chains.",3.0
40,"the fund will target the semi commercial agribusiness or transitory level actors farmers, traders, processors, traders, agribusiness service providers. for purposes of the fund, semi commercial enterprise is defined as a business enterprise that is producing or offering a product or service for sale and fully for profit and or is at below the desired or optimum level of operation, but at the same time is neither capable of injecting all of the required additional resources  capital from own sources nor has the capacity to acquire required additional resources  capital from commercial sources.",3.0
41,"cooperatives will be revitalized and their capacities strengthened to make them competitive. this will involve providing education and training, improving governance and management, enforcing legal provisions, adopting prudential standards, developing appropriate marketing strategies and operationalizing the regulatory framework for saccos. cooperatives will pursue business models that embrace innovation and modern technology transfer, and will adopt information and communication technology in their operations.",1.0
42,the cooperative subsector will implement the following interventions  reviewing cooperative development policy and legal framework  improving capacity for marketing agricultural inputs and produce  enhancing access to agricultural credit  promoting value addition  promoting internal and external trade  improving governance and management.,1.0
43,the cooperative marketing promotion component will focus on  enhancing the marketing capacity of the relevant subsector ministries * strengthening marketing capacity within cooperative societies.,1.0
44,"equally important is the capacity of cooperatives to compete in a global marketing environment. capacity building for members, officials and staff will be enhanced through training and providing technical support, policy guidance, technology transfer and access to marketing information. mainstreaming marketing activities is core to business operations though currently, this function is peripheral. policy direction on cooperative marketing shall be spelt out to guide the cooperative subsector.",1.0
45,"the main focus of sac cos is 1 to offer affordable financial services on a cost effective basis in order to cover a large number of cooperative members, 2 to provide an alternative system of securing credit. government should intervene to create a better environment for banks and the mainstream financial institutions to develop products that address farmers needs.",3.0
46,"the competitiveness of kenyan produce has been undermined by inadequate infrastructure such as poor roads and railways that increase vehicular maintenance costs; high port and road charges and tariffs; and slow and outdated communications systems and infrastructure that impede the flow of market information. kenya is signatory to several trade protocols and agreements the east african community, the inter governmental authority on development igad, the common market for eastern and southern africa , the world trade organization wto, and the european union eu. kenya must take advantage of these opportunities provided by regional and international agreements to attain a certain level of global competitiveness. trade barriers that increase uncertainties and transaction costs will be removed to provide the private sector with the impetus to plan production, processing and marketing for external markets instead of producing solely for subsistence and internal markets.",3.0
47,"opportunities are available to develop networks and partnerships between cooperative societies to reduce internal competition among them. some of the opportunities that will be explored include working with stakeholders to form joint ventures with the private sector, creating new initiatives such as cooperative private partnerships, getting direct investments in identified areas and working with the export processing zone authority to create export processing zones in areas with active cooperative societies.",1.0
48,"the agro based private sector comprises both profit driven and not for profit civil society non state actors. such actors could be broadly categorized into farmer or producer organizations that include  primary producers individual farmers and producer companies, farmers producer groups, producer organizations, commodity based associations, farmer federations * various categories of cooperatives, agribusiness firms, individual entrepreneurs, cooperative societies, agricultural input dealers  agricultural commodity processors, packaging agents, transporters and warehousing agents * financial service providers microfinance institutions, commercial banks, saccos, and agribusiness development * technical and professional service providersextension, research, insurance, legal, consultancy, quality assurance and education, training, information  civilsociety, local and international ngos, faith based organizations, community based organizations, other resource mobilization organizations and opinion leaders the kenya private sector alliance keepsake is a coalition of private sector institutions such as business associations, federations and professional bodies. keepsake engages government in structured consultations and policy dialogue towards improving the business environment, accelerating transformation of public sector institutions, promoting private sector cultural change, facilitating growth through expansion of trade, improving productivity and competitiveness of enterprises, and supporting entrepreneurship and development of micro and small enterprises in line with the national development agenda. private sector issues are consolidated into one major agenda cutting across all sectors of the economy. individual organizations identify key priority areas and work together with the government to find practical solutions to issues.",3.0
49,"in agriculture, the private sector constitutes beneficiaries and resource mobilizers to transform economic operations. it is the vehicle for requisite investments to transform agriculture towards increased productivity, agribusiness, and infrastructure development.",3.0
50,the private sector will continue working closely with the government to ensure services are delivered to producers and other players through the following interventions facilitating organization of smallholder producers at all levels developing and implementing a framework and instruments for strengthening institutional capacity of producer organizations fast tracking legal and regulatory reforms to promote private sector engagement promoting private sector participation in agro processing developing a mechanism for recognizing and supporting integrated innovation in agricultural value chains.,1.0
51,"ifaa is a competitive grant fund to support agriculture, livestock, fisheries, forestry, wildlife and agribusiness initiatives at all levels of the value chain from production at farm level through value addition and marketing. the fund will support all subsectors of agriculture and agribusiness across all commodities.",3.0
52,"although the government has increased the agricultural sector budget, it is unlikely to result in more investment in the sector. an agricultural development fund will be established and operationalized as a new mechanism for investing in the agricultural sector. it is anticipated that the fund will focus on strategic issues and areas stipulated in vision 203 0. the fund will cover areas that are outside the budgetary provisions of the mainstream sector ministries that are priority and offer high rates of return to investment.",3.0
53," mobilize and increase financial resources, and create an appropriate financing system that will attract investment in the sector * increase government's financial allocation to the subsector to at least 2 per cent of the gdp annually * create an enabling environment for effective farmer organization and participation, and for other stakeholders to provide quality and cost effective support services  establish and promote a multi sectoral approach to sustainable irrigation and drainage development and management the subsector will accelerate the development of irrigation and drainage through financing the construction of major irrigation, drainage and flood control infrastructure. it will also adopt an integrated basin wide approach to irrigation planning and implementation to attain the vision 203 0 target of developing 3 2,00 0 ha per annum and 70 4,00 0 ha of new irrigation areas by 203 0.",3.0
54,"the subsector will adopt a multi sectoral approach to irrigated agricultural production while encouraging and supporting the establishment of public private partnerships with the aim of contributing to development efforts through provision and delivery of services inputs, microfinance, technology, value adding, market outlets, etc.. the government will also mobilize funds from different sources to develop the subsector.",3.0
55,the government will also implement an effective institutional framework to ensure a coordination mechanism to facilitate multi sectoral development in the region.,1.0
56,2 an agreement relating to investment in community land shall only be made between the investor and the community.,1.0
57,"2 2. 1 the kenya forestry research institute, as established under the science, technology and innovation act, 201 3, shall be the agency in forestry research and development.",1.0
58,part ii 2 3. the funds of the service shall consist of  funds of the service.,1.0
59,"c income from investments made by the board of trustees;such sums of money or other assets as may be specifically designated from the funds of the service; andsuch sums of monies as may be received by the trust fund in the form of endowments, grants, donations, bequests or other gifts.",3.0
60,"4 upon registration under subsection 2, the a to the county government for technical advice regarding appropriate forestry practices and conservation; orto the fund, subject to availability of funds, loans from the fund for the development of the forest.",3.0
61,"5 4. 1 the cabinet secretary for the national treasury, may on the recommendation by the cabinet secretary, propose tax and other fiscal incentives to increase investments in forest land use and forest resource utilization in order to promote forest conservation and management, and to prevent or abate forest degradation.",3.0
62,"in the context of climate change, technology transfer is defined as a broad set of processes covering the flows of know how, experience and equipment for mitigating and adapting to climate change amongst different stakeholders such as governments, private sector entities, financial institutions, nongovernmental organisations and research education institutions.",1.0
63,"even though environmentally sound technology is a key means to achieving a climate resilient low carbon growth trajectory as well as technology transfer to developing countries being a major component of the , achievements in the area have been minimal. for this reason, it is obvious that technology development in both developed and developing countries, transfer to and diffusion in developing countries to help them meet sustainable development needs should be urgently accelerated. and provision of financial and other incentives for, scaling up of the development and transfer of technology to developing country parties in order to promote access to affordable environmentally sound technologies,ways to accelerate deployment, diffusion and transfer of affordable environmentally sound technologies,  cooperation on research and development of current, new and innovative technology, including win win solutions, andthe effectiveness of mechanisms and tools for technology cooperation in specific sectors.",3.0
64,"as required under the , kenya undertook in 200 5 a technology needs assessment study that highlighted kenya's mitigation technological needs and the barriers to technology transfer to kenya. in view of this, the following section highlights some of the channels through which technology transfer to and within kenya may be achieved including throughthe kyoto protocols cdm or its future successor,accelerating south south transfer of technology,accelerating north south transfer of technology through foreign direct investment fdic including taking advantage of free patent technologies,development partner initiatives,establishment and capacity enhancement of local technological innovation centres which will help strengthen institutional technology generation and transfer through learning by doing approach,technology transfer within a future climate change agreement framework, andincluding climate change research and development in all budgets of ministries with substantial allocations to institutions of higher learning to strengthen research capacities.",3.0
65,"the un report acting on climate change the un system delivering as one 200 8 identified undo as one of the un bodies through which coordination of the transfer of clean technology to the developing world can be facilitated. uni dos role as a host organisation for the cleaner production cp, which was created to foster environmentally sound production and consumption in developing countries, also makes it a suitable channel for transfer of technology. kenya has an active cleaner production centre, the kenya national cleaner production centre kncpc. some of the past and ongoing mitigation programmes of the knock include those in industrial energy management and cdm opportunities, as well as waste minimisation with tandem methane reduction, among others.",1.0
66,"most climate friendly technologies have so far been developed and used in developed countries, from where they are expected to transfer to developing countries through well known channels including trade, foreign direct investment fdic and cross border technology licensing. in order to attract these technologies, the government needs to tackle barriers that have and continue to hinder fdic in the country. these include insufficient human capabilities, high transaction costs, trade and policy barriers as well as institutional limitations such as weak intellectual property protection laws and enforcement.",2.0
67,"and adaptive innovation processes within developing countries facilitate the diffusion and development of technologies.*? this requires sufficient innovation capabilities amongst developing country firms, universities and research institutes, and appropriate links with public sector actors including production sectors.",1.0
68,"it appears that a consensus is emerging on several elements of a future deal on a technology framework. notably, parties to the  seem likely to agree on the establishment of a technology body in the future climate change agreement, although the structure, mandate, name and funding of the proposed mechanism remain unclear. the creation of a technology body has been supported in particular by developing countries, specifically the g7 7 and china group, which proposed the establishment of a technology mechanism, comprising an executive body and a multilateral climate technology fund mctf, both subsidiary to the cop.",1.0
69,"non governmental organisations have also supported the establishment of new institutions, with some proposing a mechanism dealing specifically with technology and others proposing a general mechanism for mitigation, adaptation, technology related measures and funding. the recent creation of a technology mechanism within the copenhagen accord, which is yet to be adopted, gives the strongest indication ever that such a mechanism will one day exist. kenya should place itself strategically   in terms of building the necessary capacities and identifying priority areas in which it can benefit from technology transfer through such a mechanism.",1.0
70,"however, emca, 199 9 does not effectively address several climate change issues including e@ development of national inventories of anthropogenic emissions of ghg in kenya by source and removal of ghg by sinks,  national framework for carbon finance, e@ development of national and regional programmes to mitigate climate change by addressing anthropogenic emissions by source,  promotion of education, training and awareness on climate change; appropriate technology transfer arrangements and their authorisation, and @ access to environmentally sound technologies.",1.0
71,"within the doe, memr also established in 200 9 its national climate change coordinating office. this office now acts as the secretariat for the national climate change activities coordinating committee  established in 199 2 as a requirement under the . membership of the  is drawn from line ministries, academia and research institutions, non governmental organisations ngos as well as the private sector.",1.0
72,"this office of the secretariat shall comprise key government agencies with policy and law related functions including the office of the attorney general and key ngos. it shall, in conjunction with nema, initiate all necessary policy, legal, strategy and planning processes, and promote and cooperate on legal information on matters related to climate change. this office shall also play a key role in international climate change negotiations, as well as work with other government agencies to phase out subsidies that contravene the objectives of the .",1.0
73," coordinate and supervise ongoing cdm and other emissions reduction activities to ene facilitate fundraising for financial support, sure that they are in line with and biotechnology transfer and provisions for acute towards meeting the county's environmental building, and men and sustainable development goals as well as vision 203 0,  recommend joint action involving both the public and private sectors in order to moe@ establish and maintain a project database bilious the necessary finance and accelerate and keep track of emerging, proposed and redd actions.",1.0
74,"in addition, the strategy has established that institutions currently in place to govern climate change affairs are inadequate. it has consequently recommended a dedicated and adequately funded climate change secretariat be established within the ministry of environment and mineral resources to oversee climate change issues including the implementation of the adaptation and mitigation programmes and the other aspects of the national climate change response strategy. this institution, including the proposed structures within it see chapter 8, should be anchored on the provisions of the new climate change laws to be enacted.",1.0
75,"the table on the next  shows that significant additional financial resources need to be mobilised for the implementation of this strategy with every effort made to reallocate the countrys budgetary resources and raise additional revenue for this purpose. nevertheless, most of the funding will be mobilised from developed countries either directly or indirectly through the multilateral financial institutions and the un agencies. timely establishment of the proposed climate change finance facility is therefore critical.",3.0
76,"moreover, because there are few climate change specialists in the areas of science, policy, adaptation, mitigation and carbon finance and markets it is important to put in place a targeted capacity building framework. building the capacity of local communities to help them adapt to the adverse impacts of climate change as well as take opportunities such as those offered by the reduced emissions from deforestation and degradation redd mechanisms is also important. kenya will undertake various interventions to address its capacity needs by strengthening vulnerability analysis and food security monitoring, supporting the modernisation of the kenya meteorological department, strengthening institutions in charge of disaster risk reduction drr, the national designated authority dna amongst other interventions discussed further in chapter 6.",1.0
77,"further, efforts should be made to support technology generation and absorption. this can be done by building the capacity of relevant institutions to enable them undertake research & development r&d in climate change related fields as well as through technology transfer from the industrialised countries to kenya. to this end, the strategy has identified some of the channels through which technology development, absorption and diffusion can be achieved, which include e@ through the kyoto protocol's cdm or its future successor, e@ through the united nations industrial development organization unido,accelerating south south partnerships,accelerating north south transfers through foreign direct investment fdic including taking advantage of patent free technologies,establishment and capacity enhancement of local technological innovation centres which will help strengthen institutional technology generation and transfer through learning by doing approach, and e@ including climate change research and development in all budgets of ministries with substantial allocations to institutions of higher learning to strengthen research capacities.",1.0
78,"the purpose of the resource mobilisation plan is to ensure proposed programmes and projects are fully implemented. the plan targets domestic resources from both local and national government as well as from the private sector. in addition to international funding agencies such as the world bank and international monetary fund imf, the mobilisation plan also covers external resources from development partners and regional funding agencies such as multilateral development banks eg. the african development bank afdb. the plan covers a duration of 2 0 years, coinciding with the countrys vision 203 0 and the initial five years coinciding with the millennium development goals mfg fulfilment.",3.0
79,"prior to establishing a significant funding source for climate change adaptation and mitigation e.g. from the recently created finance mechanism under the copenhagen accord there is a need for national governments to establish a coordinated strategy and operational capacity for accessing this fund. for mitigation specifically cdm, a designated national agency is required, and guidelines are available on what is expected. this is not the same for adaptation.",3.0
80,"currently, discussions in the adaptation fund board include the nature of entities that would qualify for funding, the role of national coordination, and capabilities required for monitoring, reporting and verification. even though the form of a national adaptation strategic and implementing entity has not yet been elaborated in the , an entity such as a national adaptation facility fan will be necessary in future. a national adaptation facility or authority should therefore be established to enable mobilisation and consolidation of resources from multiple sources. in developing such a capacity, there are many options that must be based on the unique structures of national government and civil society. the term authority is open in that where a cross sectoral, multi stakeholder capacity is required it might involve a single authority or agency or a multi party structure with operational capacity that might be termed facility; hub or partnership it will also require consultative and governing structures i.e. advisory committee, council, board, governing body and funding will be vital to its success. a pilot fund is suggested for gearing up a broad effort, preparing sound project proposals and mobilising stakeholder engagement. the fan should be anchored on a national policy and legal framework that sets out the key aims and processes with the policy framework then translated into sectoral objectives, targets and performance indicators. while all sectors and regions will be exposed to climate change, early action should be focused with the strategy recognising regional requirements and the urgent needs of vulnerable socioeconomic groups.",3.0
